campaignid,sample,date,reporting_name,location,uwa_site_code,zone_type,status_recorded,status_zoning
2016-02_GSVsummer.BRUVS_MonoBRUVS,AI_R6_16,2016-02-12,Aldinga - Aldinga Reef Sanctuary Zone,Encounter,58.0,HPZ,No-take,Fished
2025-10_OffshoreArdrossan_BRUVS,OASO04_2510,2025-10-13,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,,44.0,,No-take,Fished
2014-09_GSVwinter.BRUVS_monoBRUVS,ZO_R1_14,2014-09-05,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2014-09_GSVwinter.BRUVS_monoBRUVS,ZO_R2_14,2014-09-05,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2014-09_GSVwinter.BRUVS_monoBRUVS,ZO_R3_14,2014-09-05,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2014-09_GSVwinter.BRUVS_monoBRUVS,ZO_R4_14,2014-09-05,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2014-09_GSVwinter.BRUVS_monoBRUVS,ZO_R5_14,2014-09-05,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2014-09_GSVwinter.BRUVS_monoBRUVS,ZO_R6_14,2014-09-05,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2016-02_GSVsummer.BRUVS_MonoBRUVS,ZO_R1_16,2016-03-16,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2016-02_GSVsummer.BRUVS_MonoBRUVS,ZO_R2_16,2016-03-16,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2016-02_GSVsummer.BRUVS_MonoBRUVS,ZO_R3_16,2016-03-16,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2016-02_GSVsummer.BRUVS_MonoBRUVS,ZO_R4_16,2016-03-16,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2016-02_GSVsummer.BRUVS_MonoBRUVS,ZO_R5_16,2016-03-16,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2016-02_GSVsummer.BRUVS_MonoBRUVS,ZO_R6_16,2016-03-16,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2025-10_OffshoreArdrossan_BRUVS,OASI07_2510,2025-10-13,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Upper Gulf St Vincent,45.0,SZ,Fished,No-take
2025-11_PortGibbon_BRUVS,PGWI01_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,17.0,SZ,Fished,No-take
2025-11_PortGibbon_BRUVS,PGWI02_2511,2025-11-14,Port Gibbon - Port Gibbon Sanctuary Zone,Franklin Harbor,17.0,SZ,Fished,No-take
