"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","family_code","selected_family","link","selection_reason","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","dispersion_parameter","tweedie_power","model_warnings","model_error"
"Aldinga - Aldinga Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",39,2,2,2,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,223.8511712380997,-104.92558561904985,3.281344456675356,1.2949890578121874,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",39,2,2,2,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,223.8511712380997,-104.92558561904985,3.281344456675356,1.2949890578121874,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",89,4,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,1.0000000000030353,1.000000000006702,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",89,4,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,1.0000000199250214,1.0000000000000326,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,219.1548686180742,-102.5774343090371,1.5703800721546652,1.1415665157078525,NA,NA
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",48,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,219.1548686180742,-102.5774343090371,1.5703800721546652,1.1415665157078525,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",145,7,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,929.9652066792794,-456.9826033396397,2.0437886730487467,1.245792591293274,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",145,7,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,921.8533502386601,-443.92667511933007,1.9627615078563574,1.228702050073278,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",45,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,302.12899864123057,-144.06449932061528,2.4036520010829907,1.045195792442325,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",45,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,302.12899864123057,-144.06449932061528,2.4036520010829907,1.045195792442325,NA,NA
