"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"2016-05-24",57.582048164654175,13.271966605383986,Inf,36.65181061678052,90.46462412196661,"2016-05-24","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2017-04-05",48.45752419391041,11.101368684916181,Inf,30.92824956530488,75.92190583063362,"2017-04-05","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2018-03-28",46.89105170451017,10.50389368693348,Inf,30.22841781633099,72.73853177876728,"2018-03-28","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2026-03-24",29.438980096687978,6.631020491254742,Inf,18.931838298460853,45.77756979910659,"2026-03-24","Bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2021-10-11",29.786694444113564,4.474704816576218,Inf,22.189657419236507,39.98471671481596,"2021-10-11","Pre-bloom","Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2022-05-10",12.620520045331169,2.0721740174193277,Inf,9.14782270828171,17.411523079738814,"2022-05-10","Pre-bloom","Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2024-03-25",238.0700282455582,30.312941466205782,Inf,185.49109848899704,305.55287456127104,"2024-03-25","Pre-bloom","Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2024-11-14",94.1835923550793,12.766366072424347,Inf,72.2099208978161,122.84391062358897,"2024-11-14","Pre-bloom","Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2025-05-22",25.235647414797317,3.8692613970826946,Inf,18.68545941158937,34.08200389490972,"2025-05-22","Bloom","Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2025-11-11",54.300311219279536,8.00356733550751,Inf,40.67615476665989,72.4877711628574,"2025-11-11","Bloom","Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2015-11-15",21.381354518673263,3.322982442012844,Inf,15.766879820952601,28.995104056394634,"2015-11-15","Pre-bloom","Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2025-12-04",21.04612889939606,3.3266946949712843,Inf,15.439225263892341,28.689233693992087,"2025-12-04","Bloom","Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2016-01-19",72.6666199667614,14.911068921145297,Inf,48.603755365914246,108.64258569404483,"2016-01-19","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2017-02-25",81.58301333547362,11.37710864973481,Inf,62.07203128147731,107.22684480412995,"2017-02-25","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2019-02-16",54.363225169238,9.100179730933787,Inf,39.15773702571,75.47321360427074,"2019-02-16","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2020-04-10",41.99984600187425,7.353635385160908,Inf,29.799790041970198,59.19461384448489,"2020-04-10","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2022-03-16",81.58292492625675,11.377098606897988,Inf,62.071960606491935,107.22673449478793,"2022-03-16","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2025-11-10",120.0000895623387,14.661602933882913,Inf,94.44562011169091,152.46891785918623,"2025-11-10","Bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2026-04-08",105.66603672348467,13.485543686130084,Inf,82.28136734126261,135.69671576482918,"2026-04-08","Bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2020-10-13",47.45210365255096,12.858555887487633,Inf,27.899546767784628,80.70748101372253,"2020-10-13","Pre-bloom","Glenelg","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2021-10-25",27.99139457338413,7.934841703366102,Inf,16.059453146254913,48.78859591464957,"2021-10-25","Pre-bloom","Glenelg","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2022-12-02",33.643722603477734,8.997739205964239,Inf,19.918523086679173,56.82650594595212,"2022-12-02","Pre-bloom","Glenelg","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2023-11-23",69.80744199300611,17.20026709836448,Inf,43.069433420965666,113.14471936458673,"2023-11-23","Pre-bloom","Glenelg","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2025-10-21",4.50621082711862,1.4805698833534406,Inf,2.3666769424309155,8.579935712553981,"2025-10-21","Bloom","Glenelg","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2026-03-20",77.18195345006768,18.016329418307183,Inf,48.845278591201726,121.95762026918666,"2026-03-20","Bloom","Glenelg","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2015-04-28",121.50001463055281,38.737562258379796,Inf,65.04138127101142,226.96709797281017,"2015-04-28","Pre-bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2015-10-09",300.1666031092988,95.70109964399344,Inf,160.68549332897067,560.72261257408,"2015-10-09","Pre-bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2021-10-12",31.454546649044143,7.406598044934994,Inf,19.826730915324596,49.90174674394608,"2021-10-12","Pre-bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2022-12-01",51.249998326057636,11.553931883641638,Inf,32.94555157742261,79.72433917970515,"2022-12-01","Pre-bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2023-12-01",21.250002016764043,4.790657175395593,Inf,13.660350026991901,33.05644326977124,"2023-12-01","Pre-bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2024-12-19",33.000008872717245,7.439609148668543,Inf,21.21372491110974,51.33471797916554,"2024-12-19","Pre-bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2025-02-04",19.399997916691746,6.775555207928931,Inf,9.783965131138194,38.46701353931145,"2025-02-04","Pre-bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2025-11-13",117.64704378877029,22.283485868418147,Inf,81.16246506122381,170.53236248795787,"2025-11-13","Bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2026-03-06",27.588233912651734,5.225488983304787,Inf,19.032584471839215,39.989873763352186,"2026-03-06","Bloom","O'Sullivan","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2014-09-03",64.971014501893393,7.056885568714491,Inf,52.512853954109026,80.38475168563826,"2014-09-03","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2016-03-11",89.08327452740052,9.0008618992931,Inf,73.07887284246843,108.5926683301613,"2016-03-11","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2016-11-03",58.5357370244795,10.23100454572321,Inf,41.55719418706426,82.4510070043561,"2016-11-03","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2025-10-13",105.60671164977926,11.090696527608738,Inf,85.96057338290659,129.742940357089,"2025-10-13","Bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2017-02-03",34.16666554968225,4.520610601653829,Inf,26.36207825449358,44.28182875092028,"2017-02-03","Pre-bloom","Orcades Bank - Orcades Bank Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics","overall","total_abundance"
"2015-12-10",22.7859543335164,3.5394687461897347,Inf,16.805264910143002,30.895062807116254,"2015-12-10","Pre-bloom","Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2016-12-06",26.66893207929002,4.005758100480892,Inf,19.86792246289571,35.79800251274605,"2016-12-06","Pre-bloom","Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"2017-12-05",27.742093190373673,4.271437881486905,Inf,20.515405202787132,37.514430106348556,"2017-12-05","Pre-bloom","Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
