"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","requested_family_code","family_code","selected_family","link","selection_reason","poisson_dispersion_ratio","dispersion_threshold","poisson_overdispersed","poisson_valid","poisson_AIC","poisson_warnings","poisson_error","nbinom2_fitted","nbinom2_valid","nbinom2_AIC","nbinom2_theta","nbinom2_warnings","nbinom2_error","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","model_warnings","model_error","fixed_effect_structure","structure_reason","n_all_zero_period_status_cells","missing_period_status_cell"
"Aldinga - Aldinga Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",39,2,2,2,3,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 5.804, greater than the threshold of 1.5",5.803695264961362,1.5,TRUE,TRUE,332.78014492179545,NA,NA,TRUE,TRUE,229.04120008709373,1.1347081514412656,NA,NA,TRUE,TRUE,TRUE,TRUE,229.04120008709373,-108.52060004354686,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"Aldinga - Aldinga Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",39,2,2,2,3,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 5.804, greater than the threshold of 1.5",5.803695264961362,1.5,TRUE,TRUE,332.78014492179545,NA,NA,TRUE,TRUE,229.04120008709373,1.1347081514412656,NA,NA,TRUE,TRUE,TRUE,TRUE,229.04120008709373,-108.52060004354686,NA,NA,NA,NA,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",89,4,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.924, greater than the threshold of 1.5",1.9241098462472614,1.5,TRUE,TRUE,353.29882270008676,NA,NA,TRUE,TRUE,337.1485511574686,1.9891363293855187,NA,NA,TRUE,TRUE,TRUE,TRUE,337.1485511574686,-161.5742755787343,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",89,4,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.855, greater than the threshold of 1.5",1.8548551787582745,1.5,TRUE,TRUE,348.5285911197193,NA,NA,TRUE,TRUE,337.80074606512386,2.4129483438252337,NA,NA,TRUE,TRUE,TRUE,TRUE,337.80074606512386,-158.90037303256193,NA,NA,NA,NA,NA,NA
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.083, greater than the threshold of 1.5",2.082544521180502,1.5,TRUE,TRUE,234.4491718305424,NA,NA,TRUE,TRUE,216.9933370967767,1.8707394173929293,NA,NA,TRUE,TRUE,TRUE,TRUE,216.9933370967767,-102.49666854838836,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",48,2,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.083, greater than the threshold of 1.5",2.082544521180502,1.5,TRUE,TRUE,234.4491718305424,NA,NA,TRUE,TRUE,216.9933370967767,1.8707394173929293,NA,NA,TRUE,TRUE,TRUE,TRUE,216.9933370967767,-102.49666854838836,NA,NA,NA,NA,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",145,7,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.952, greater than the threshold of 1.5",3.952201649495514,1.5,TRUE,TRUE,1110.2525763127499,NA,NA,TRUE,TRUE,933.7723143558408,3.2477070614688484,NA,NA,TRUE,TRUE,TRUE,TRUE,933.7723143558408,-459.8861571779204,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",145,7,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 4.137, greater than the threshold of 1.5",4.136736883892194,1.5,TRUE,TRUE,1079.6916089832037,NA,NA,TRUE,TRUE,926.1679117678414,3.699430649795527,NA,NA,TRUE,TRUE,TRUE,TRUE,926.1679117678414,-447.0839558839207,NA,NA,NA,NA,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",45,2,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.586, greater than the threshold of 1.5",3.58564134150134,1.5,TRUE,TRUE,359.67963409180584,NA,NA,TRUE,TRUE,302.9748354778545,3.4238354478000215,NA,NA,TRUE,TRUE,TRUE,TRUE,302.9748354778545,-145.48741773892726,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",45,2,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.586, greater than the threshold of 1.5",3.58564134150134,1.5,TRUE,TRUE,359.67963409180584,NA,NA,TRUE,TRUE,302.9748354778545,3.4238354478000215,NA,NA,TRUE,TRUE,TRUE,TRUE,302.9748354778545,-145.48741773892726,NA,NA,NA,NA,NA,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",33,2,2,2,4,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.005, greater than the threshold of 1.5",2.004670326421707,1.5,TRUE,TRUE,162.79180137889287,NA,NA,TRUE,TRUE,151.4788755071895,2.2255294065679014,NA,NA,TRUE,TRUE,TRUE,TRUE,151.4788755071895,-69.73943775359476,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",33,2,2,2,4,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.005, greater than the threshold of 1.5",2.004670326421707,1.5,TRUE,TRUE,162.79180137889287,NA,NA,TRUE,TRUE,151.4788755071895,2.2255294065679014,NA,NA,TRUE,TRUE,TRUE,TRUE,151.4788755071895,-69.73943775359476,NA,NA,NA,NA,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ 1 + (1 | start_date_fct)",23,2,1,1,1,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.479, greater than the threshold of 1.5",2.4794199603632836,1.5,TRUE,TRUE,185.3277253052877,NA,NA,TRUE,TRUE,175.73452466877248,26.53193371293601,NA,NA,TRUE,TRUE,TRUE,TRUE,175.73452466877248,-84.86726233438624,NA,NA,"1","Intercept-only fixed effect used",0,FALSE
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct",23,2,1,1,1,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.459, greater than the threshold of 1.5",2.4594830433411814,1.5,TRUE,TRUE,181.83929258496067,NA,NA,TRUE,TRUE,173.9590881397969,30.44184668207318,NA,NA,TRUE,TRUE,TRUE,TRUE,173.9590881397969,-83.97954406989845,NA,NA,NA,NA,NA,NA
"Glenelg","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)",94,6,2,1,4,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.497, greater than the threshold of 1.5",3.497128777730184,1.5,TRUE,TRUE,443.7037991726914,NA,NA,TRUE,TRUE,294.3905860045831,0.723170213604038,NA,NA,TRUE,TRUE,TRUE,TRUE,294.3905860045831,-142.19529300229155,NA,NA,"Period","Period-only fixed effect used",0,FALSE
"Glenelg","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)",76,5,2,1,4,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 4.446, greater than the threshold of 1.5",4.446171458051152,1.5,TRUE,TRUE,425.275413216777,NA,NA,TRUE,TRUE,283.2957354806194,0.7985432168279388,NA,NA,TRUE,TRUE,TRUE,TRUE,283.2957354806194,-134.6478677403097,NA,NA,NA,NA,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Status + (1 | uwa_site_code)",24,1,1,2,5,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.011, greater than the threshold of 1.5",2.0112217118417854,1.5,TRUE,TRUE,96.53023245915631,NA,NA,TRUE,TRUE,94.05353409271369,2.2352631370866014,NA,NA,TRUE,TRUE,TRUE,TRUE,94.05353409271369,-43.026767046356845,NA,NA,"Status","Status-only fixed effect used",0,FALSE
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ Status + (1 | uwa_site_code)",24,1,1,2,5,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.011, greater than the threshold of 1.5",2.0112217118417854,1.5,TRUE,TRUE,96.53023245915631,NA,NA,TRUE,TRUE,94.05353409271369,2.2352631370866014,NA,NA,TRUE,TRUE,TRUE,TRUE,94.05353409271369,-43.026767046356845,NA,NA,NA,NA,NA,NA
"O'Sullivan","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)",69,6,2,1,5,"auto_count","poisson","Poisson (log link)","log","Poisson retained: Pearson dispersion ratio = 1.172, not greater than the threshold of 1.5",1.1720247023654842,1.5,FALSE,TRUE,188.97970328659136,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,188.97970328659136,-90.48985164329568,NA,NA,"Period","Period-only fixed effect used",0,FALSE
