"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","Status","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"2014-09-03",20.173823593416092,5.684550074730833,Inf,11.612825795248181,35.0460056453102,"Not modelled by Status","2014-09-03","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2015-12-10",66.15863730953757,17.75214277562203,Inf,39.100856505072336,111.9403941979414,"Not modelled by Status","2015-12-10","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2016-02-12",121.69789389655995,34.224397958441735,Inf,70.13011541919487,211.18427212519188,"Not modelled by Status","2016-02-12","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2016-11-19",51.773592695893306,15.711735631973404,Inf,28.56236163974256,93.84745331809394,"Not modelled by Status","2016-11-19","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2019-12-07",79.78954667255545,22.996469754081403,Inf,45.35422382323193,140.3699858920491,"Not modelled by Status","2019-12-07","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2020-11-26",72.94563294044963,22.09460013281824,Inf,40.28818709965369,132.0750758012774,"Not modelled by Status","2020-11-26","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2021-11-22",49.445060944612194,16.647269974363795,Inf,25.558687113649093,95.65491533056134,"Not modelled by Status","2021-11-22","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2025-02-06",49.79575987330094,12.969467759052502,Inf,29.887813954116826,82.96417078766976,"Not modelled by Status","2025-02-06","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2026-02-21",53.80232193080988,12.70662739268447,Inf,33.866525721673625,85.47348106906594,"Not modelled by Status","2026-02-21","Bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5",NA,"total_abundance"
"2016-05-24",49.386358964409695,15.731991349041289,Inf,26.451927949315387,92.20547010542776,"Fished","2016-05-24","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5",NA,"total_abundance"
