"metric","model_type","family_code","selected_family","selected_model_valid","n_models"
"Abundance > 200 mm","Period","nbinom2","Negative binomial nbinom2 (log link)",TRUE,16
"Abundance > 200 mm","Period","poisson","Poisson (log link)",TRUE,2
"Abundance > 200 mm","Temporal","nbinom2","Negative binomial nbinom2 (log link)",TRUE,16
"Abundance > 200 mm","Temporal","poisson","Poisson (log link)",TRUE,2
"Reef associated species richness","Period","nbinom2","Negative binomial nbinom2 (log link)",TRUE,8
"Reef associated species richness","Period","poisson","Poisson (log link)",TRUE,12
"Reef associated species richness","Temporal","nbinom2","Negative binomial nbinom2 (log link)",TRUE,8
"Reef associated species richness","Temporal","poisson","Poisson (log link)",TRUE,12
"Shannon diversity","Period","gaussian","gaussian (identity link)",TRUE,20
"Shannon diversity","Temporal","gaussian","gaussian (identity link)",TRUE,20
"Shark and ray richness","Period","poisson","Poisson (log link)",TRUE,19
"Shark and ray richness","Temporal","poisson","Poisson (log link)",TRUE,19
"Simpson diversity","Period","gaussian","gaussian (identity link)",FALSE,1
"Simpson diversity","Period","gaussian","gaussian (identity link)",TRUE,19
"Simpson diversity","Temporal","gaussian","gaussian (identity link)",TRUE,20
"Species richness","Period","nbinom2","Negative binomial nbinom2 (log link)",TRUE,3
"Species richness","Period","poisson","Poisson (log link)",TRUE,17
"Species richness","Temporal","nbinom2","Negative binomial nbinom2 (log link)",TRUE,3
"Species richness","Temporal","poisson","Poisson (log link)",TRUE,17
"Total abundance","Period","nbinom2","Negative binomial nbinom2 (log link)",TRUE,20
"Total abundance","Temporal","nbinom2","Negative binomial nbinom2 (log link)",TRUE,20
