"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","1","metric_id"
"Pre-bloom",67.66260281701504,10.52437438023457,Inf,49.8828360647667,91.77962163235605,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",59.75097910539387,23.97531960002148,Inf,27.21428940638743,131.18768051372535,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",51.250291920679935,9.222487246511704,Inf,36.01825529619293,72.92392150467481,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",29.233250239843468,6.591218825314825,Inf,18.791296864402856,45.47759134198878,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",54.39554894921703,26.402909506793385,Inf,21.00878475285498,140.839928643877,"Boston Bay","Total abundance",NA,"total_abundance"
"Bloom",36.97318639561054,25.097471632641863,Inf,9.774388544938466,139.85698501339516,"Boston Bay","Total abundance",NA,"total_abundance"
"Pre-bloom",17.77564626048921,2.3248232280677485,Inf,13.756226354605104,22.969496999608985,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",14.934728298766391,1.9783665730506466,Inf,11.519689143079116,19.362163908040603,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",47.65637301907385,12.538814885148101,Inf,28.455243251324504,79.81410910017068,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",92.03079388116058,61.31830134228826,Inf,24.93413934606787,339.6815468480301,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",21.36265757888646,3.3694447110883816,Inf,15.68190205712383,29.101261898612776,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",21.048619353000664,3.3756163998933935,Inf,15.371435553525,28.822576468202048,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",131.98485221358624,29.33929822796106,Inf,85.37053709029436,204.05167646324495,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",122.54652189839784,24.87243545105171,Inf,82.32626111050199,182.41627673625482,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",90.02605602904687,16.30031517602278,Inf,63.13174678573355,128.37741986851813,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",114.16431626610773,32.857573718688435,Inf,64.9451160805832,200.68469955979532,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",42.53029280311553,20.307807174905367,Inf,16.682371729595737,108.42737682854481,"Glenelg","Total abundance",NA,"total_abundance"
"Bloom",19.746536171782466,12.954323009663772,Inf,5.458546978234147,71.43397177643331,"Glenelg","Total abundance",NA,"total_abundance"
"Pre-bloom",25.914463272402585,6.558074147826585,Inf,15.780904731543224,42.555190473609194,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",134.04340326369305,55.43643517560623,Inf,59.5954848538798,301.49320879874176,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",44.46152625565278,15.079553614269267,Inf,22.871317826784363,86.43259351969039,"O'Sullivan","Total abundance",NA,"total_abundance"
