"Period","Status","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","family_selection_reason","1","metric_id"
"Pre-bloom","Fished",59.542266228872386,11.599428711926798,Inf,40.644594031407166,87.22639633035539,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",41.449923047940025,17.790365216550533,Inf,17.872562735470837,96.13037291346723,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",76.89038577025345,12.376424505633484,Inf,56.08684372777512,105.41030714072093,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",86.13235541894795,36.862107004786026,Inf,37.22864039006506,199.27621777978675,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",41.10861589508101,10.481423595898159,Inf,24.940366401604873,67.7583590231683,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",27.65401295117224,8.842177630416103,Inf,14.777208783536992,51.751615850186084,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",63.89396394805897,16.22760032604208,Inf,38.83954892660584,105.1103512224188,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",30.902673007863864,9.810320424438741,Inf,16.587264331554067,57.5727968122086,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",54.39554894921703,26.402909506793385,Inf,21.00878475285498,140.839928643877,"Boston Bay","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",36.97318639561054,25.097471632641863,Inf,9.774388544938466,139.85698501339516,"Boston Bay","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
