"location","term","n","n_sites","R2","F_value","p_value","dispersion_p"
"Carrickalinga","period",110,14,0.0743924627505079,11.291712925691,0.001,0.02
"Carrickalinga","period:status",110,14,0.0104307166760785,1.58323375730282,0.084,NA
"Eastern Spencer Gulf","period",6,3,0.266663674771038,2.05928829650123,0.25,0.401388888888889
"Encounter Bay","period",46,7,0.205912684613379,18.7268078464762,0.001,0.001
"Encounter Bay","period:status",46,7,0.0172703038651992,1.57065438946167,0.043,NA
"Metro","period",25,3,0.132395208065179,4.0634669632228,0.003,0.005
"Rapid Head","period",117,10,0.0996812390458402,15.6785427116342,0.001,0.132
"Rapid Head","period:status",117,10,0.00561153576549656,0.882620481239617,0.628,NA
"Southern Fleurieu","period",31,6,0.29215311133828,15.7577624989892,0.001,0.888
"Southern Metro","period",90,14,0.0874096995933754,13.7445225856846,0.001,0.001
"Southern Metro","period:status",90,14,0.0109365811495585,1.7196957239248,0.036,NA
"Southern Yorke","period",10,3,0.200787566164508,2.90922846105864,0.027,0.74
"Sponge Gardens","period",34,5,0.227017054683067,11.8537549458393,0.001,0.482
"Sponge Gardens","period:status",34,5,0.0343697195329717,1.79462390378489,0.066,NA
"Upper GSV","period",23,5,0.149690931334184,4.97639637009553,0.001,0.986
