site_name,status,CAP1,MDS1,n_events
Carrickalinga (toilet),Fished,-0.48183127692789934,-0.3760343138515643,14
Carrickalinga Head,No-take,1.0523014213507986,-0.09575025443830762,13
Carrickalinga North Site,Fished,-0.22778015026581824,0.15519895886918753,8
Carrickalinga North Site 2,Fished,-0.14891192602221917,-0.0730045625547743,9
Carrickalinga Nth,Fished,-0.47716008134145954,0.10479436348883789,8
Dodd's Beach,No-take,0.5916540728698774,-0.10004100388105962,11
Haycock Point,Fished,-0.7802595746447505,-0.9345391310345,7
Lady Bay,Fished,-0.8690606594786832,0.20697027207334565,3
Myponga,Fished,-0.350181065363027,0.3698738810999769,4
Myponga South,No-take,0.6494928604216339,0.12457017744633883,11
Normanville Beach,Fished,-0.9920855089225082,0.5704965616821449,5
Ripple Rock,No-take,0.7408631526069153,0.08863021804363007,11
South Shores,Fished,-0.9785702707438948,0.48663777793981894,3
Yankalilla Mouth,Fished,-1.4636002463828837,1.3235154374806775,3
