site_name,status,CAP1,MDS1,n_events
2nd Valley Boat Shed,Fished,-0.7507047891851384,-0.6547611123459193,19
Cape Jervis South,Fished,0.8984636784516955,0.6117435555249986,4
Lasseters Reef,Fished,-0.8216152434245856,-0.8893409677185851,12
Morgans,Fished,0.4377745803643897,0.4692592661992864,12
Nev's Windmills,Fished,0.5338966959828727,0.6018850809435933,12
Rapid Head,No-take,-0.31997525664570053,-0.08058985750910397,16
Rapid Head East,Fished,0.2870418050649686,0.1427184584631146,11
Rapid Head SZ,No-take,0.14170579927307428,0.06628083149316817,11
Rapid Head SZ Site2,No-take,0.406584963811926,0.38595522618151773,10
Rapid Head South,No-take,0.5206394706132205,0.2942739628192314,10
