site_name,status,CAP1,MDS1,n_events
Aldinga Pinacles,No-take,-0.9776213741802565,-0.18751664807115687,5
Aldinga Reef,No-take,-0.8800273837977843,-0.13284031821043263,5
Aldinga SZ1,No-take,-0.7798992427474154,0.26947558694153806,2
Aldinga SZ3,No-take,0.23431787822827038,0.7679805540475213,2
Gull Rock,Fished,0.6831337044496629,0.26662507472387353,2
Horseshoe inner,Fished,0.3017309484581701,-0.04767425853159625,13
Horseshoe outer,Fished,0.8167192807158637,-0.0664317791400569,10
Moana inside,Fished,0.9739654165914942,0.32219132485794155,8
Moana outside,Fished,0.12570502097868186,-0.551997278720406,12
Noarlunga North Outside,No-take,-1.0625725407489361,-0.25793875337284566,11
Noarlunga South Outside,No-take,-0.8668709638865462,0.3804501441561316,4
Pt Noarlunga inside,No-take,-0.7087607764861275,0.10529978248832597,8
Southport,Fished,1.0902887479705454,0.6295238482571893,5
Willunga,Fished,0.9992282214196504,0.5498835024529896,3
