site_name,status,CAP1,MDS1,n_events
2nd Valley Boat Shed,Fished,-0.15793590795438667,0.005229467660892173,19
Cape Jervis South,Fished,0.08124366017957294,-1.9768544131528598,4
Lasseters Reef,Fished,-0.018576145633645756,0.21829550676022094,12
Morgans,Fished,0.164090247337711,0.7665449602507075,12
Nev's Windmills,Fished,0.1030899547222552,0.20667556323752637,12
Rapid Head,No-take,-0.08753776897050215,-0.0309703934308159,16
Rapid Head East,Fished,-0.03943947496694676,-0.2942969385747006,11
Rapid Head SZ,No-take,0.046100069201997745,-0.2044041774747304,11
Rapid Head SZ Site2,No-take,0.08001722807211645,0.1455436382177064,10
Rapid Head South,No-take,0.021972441952051842,-0.19643324066672352,10
