site_name,status,CAP1,MDS1,n_events
Aldinga Pinacles,No-take,0.27315112185538165,-0.1628597756771924,5
Aldinga Reef,No-take,0.13032288280694712,0.24114064954380882,5
Aldinga SZ1,No-take,0.874896201669236,0.1995520074149667,2
Aldinga SZ3,No-take,1.182251047007646,-0.16232868034985348,2
Gull Rock,Fished,0.4457501703471424,1.011579197490212,2
Horseshoe inner,Fished,-0.6112116346844316,0.9054818026019447,13
Horseshoe outer,Fished,0.1286396082846946,-0.5250295721364159,10
Moana inside,Fished,0.33221204419168376,-0.7727176349594521,8
Moana outside,Fished,0.17555778381270198,-0.7752508344033717,12
Noarlunga North Outside,No-take,-0.33415507872589567,0.14671343700973527,11
Noarlunga South Outside,No-take,-0.008724506225693929,0.48316167326673515,4
Pt Noarlunga inside,No-take,-0.5073444114393596,0.3571953759764383,8
Southport,Fished,0.05569398984518466,0.3164988750270784,5
Willunga,Fished,0.787563260193888,-0.5039259738365691,3
