id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1
Carrickalinga (toilet)_1,Carrickalinga (toilet),Fished,Pre-bloom,1,2005-03-08,-0.3668438774890779,-0.7380983253581899
Carrickalinga (toilet)_2,Carrickalinga (toilet),Fished,Pre-bloom,2,2006-02-23,-0.6890930150438581,-0.5193110047877416
Carrickalinga (toilet)_3,Carrickalinga (toilet),Fished,Pre-bloom,3,2007-02-22,-0.7059592157736481,-0.4544785633603078
Carrickalinga (toilet)_4,Carrickalinga (toilet),Fished,Pre-bloom,4,2008-02-05,-0.3159408649465991,-0.7886981685789278
Carrickalinga (toilet)_7,Carrickalinga (toilet),Fished,Pre-bloom,7,2012-11-23,-0.611679433907256,-0.3343950589124573
Carrickalinga (toilet)_8,Carrickalinga (toilet),Fished,Pre-bloom,8,2013-02-28,-0.3582834260944428,-0.3214588192741987
Carrickalinga (toilet)_9,Carrickalinga (toilet),Fished,Pre-bloom,9,2014-01-18,-0.23703676772245208,-0.2783389539127507
Carrickalinga (toilet)_10,Carrickalinga (toilet),Fished,Pre-bloom,10,2016-02-09,-0.2707917302794505,-0.4599455718103414
Carrickalinga (toilet)_11,Carrickalinga (toilet),Fished,Pre-bloom,11,2017-02-14,-0.1321606849325421,-0.5266012249597423
Carrickalinga (toilet)_12,Carrickalinga (toilet),Fished,Pre-bloom,12,2018-02-06,-0.14293996959574942,-0.4216836897556946
Carrickalinga (toilet)_13,Carrickalinga (toilet),Fished,Pre-bloom,13,2019-02-19,-0.10579969895440394,-0.5167441501069365
Carrickalinga (toilet)_14,Carrickalinga (toilet),Fished,Pre-bloom,14,2020-02-09,-0.653484175251126,-0.43839705725210737
Carrickalinga (toilet)_15,Carrickalinga (toilet),Fished,Pre-bloom,15,2021-03-10,-0.11069170145098614,-0.6207323074132792
Carrickalinga (toilet)_19,Carrickalinga (toilet),Fished,Bloom,19,2026-01-13,1.670964400387906,-0.5668706469444617
Carrickalinga Head_1,Carrickalinga Head,No-take,Pre-bloom,1,2005-03-08,-0.6686084804318476,1.6040044496417183
Carrickalinga Head_2,Carrickalinga Head,No-take,Pre-bloom,2,2006-02-23,-0.4633869416343489,1.1539926344038174
Carrickalinga Head_3,Carrickalinga Head,No-take,Pre-bloom,3,2007-02-22,-0.5305887146565359,1.4536079774167352
Carrickalinga Head_6,Carrickalinga Head,No-take,Pre-bloom,6,2012-02-01,-0.5449214442113877,1.4808742455717843
Carrickalinga Head_11,Carrickalinga Head,No-take,Pre-bloom,11,2017-02-14,-0.32794655413198515,1.0451951717784072
Carrickalinga Head_12,Carrickalinga Head,No-take,Pre-bloom,12,2018-02-06,-0.538312375018832,1.2352089591670943
Carrickalinga Head_13,Carrickalinga Head,No-take,Pre-bloom,13,2019-02-19,-0.4062065065578066,0.662264192165743
Carrickalinga Head_14,Carrickalinga Head,No-take,Pre-bloom,14,2020-02-09,-0.45585279495151626,0.9610517021866725
Carrickalinga Head_15,Carrickalinga Head,No-take,Pre-bloom,15,2021-03-10,-0.3717328759814183,0.7296542537571901
Carrickalinga Head_16,Carrickalinga Head,No-take,Pre-bloom,16,2023-02-20,-0.20263823164030986,0.9890493192405592
Carrickalinga Head_17,Carrickalinga Head,No-take,Pre-bloom,17,2023-12-21,0.10004694899521029,0.8084196791265916
Carrickalinga Head_18,Carrickalinga Head,No-take,Pre-bloom,18,2024-02-18,-0.2604702378456953,1.0391820222100343
Carrickalinga Head_19,Carrickalinga Head,No-take,Bloom,19,2026-01-13,1.235644464128118,0.4120831405839262
Carrickalinga North Site_8,Carrickalinga North Site,Fished,Pre-bloom,8,2013-02-28,-0.12188731779706426,0.5812163988593932
Carrickalinga North Site_10,Carrickalinga North Site,Fished,Pre-bloom,10,2016-02-09,-0.3153395907296789,-0.18143820846018788
Carrickalinga North Site_11,Carrickalinga North Site,Fished,Pre-bloom,11,2017-02-14,-0.11538246871621,-0.004093291433928981
Carrickalinga North Site_12,Carrickalinga North Site,Fished,Pre-bloom,12,2018-02-06,0.0919548832970696,-0.15247564048588474
Carrickalinga North Site_13,Carrickalinga North Site,Fished,Pre-bloom,13,2019-02-19,-0.13173495641586397,-0.5500869717872835
Carrickalinga North Site_14,Carrickalinga North Site,Fished,Pre-bloom,14,2020-02-09,0.06896477533693558,-0.1756778963488764
Carrickalinga North Site_15,Carrickalinga North Site,Fished,Pre-bloom,15,2021-03-10,0.03790282087501849,-0.8700881654264606
Carrickalinga North Site_19,Carrickalinga North Site,Fished,Bloom,19,2026-01-13,1.9658613299023329,-0.648060576703546
Carrickalinga North Site 2_8,Carrickalinga North Site 2,Fished,Pre-bloom,8,2013-02-28,-0.6724696248580896,0.35685544538248076
Carrickalinga North Site 2_10,Carrickalinga North Site 2,Fished,Pre-bloom,10,2016-02-09,0.07992669289022626,-0.3808674429189037
Carrickalinga North Site 2_11,Carrickalinga North Site 2,Fished,Pre-bloom,11,2017-02-14,-0.1961051228816873,0.029899254701780693
Carrickalinga North Site 2_12,Carrickalinga North Site 2,Fished,Pre-bloom,12,2018-02-06,-0.6072570630872851,-0.03428871363759954
Carrickalinga North Site 2_13,Carrickalinga North Site 2,Fished,Pre-bloom,13,2019-02-19,-0.07877986319288033,-0.890139961901956
Carrickalinga North Site 2_14,Carrickalinga North Site 2,Fished,Pre-bloom,14,2020-02-09,-0.54997316185336,-0.009879762232439606
Carrickalinga North Site 2_15,Carrickalinga North Site 2,Fished,Pre-bloom,15,2021-03-10,-0.1451780651135243,-0.0028658788325019472
Carrickalinga North Site 2_18,Carrickalinga North Site 2,Fished,Pre-bloom,18,2024-02-18,-0.461362917970648,0.03242789746695159
Carrickalinga North Site 2_19,Carrickalinga North Site 2,Fished,Bloom,19,2026-01-13,2.0857290401384483,-0.32455824939045563
Carrickalinga Nth_8,Carrickalinga Nth,Fished,Pre-bloom,8,2013-02-28,-0.08554962127361736,0.07424189428478707
Carrickalinga Nth_10,Carrickalinga Nth,Fished,Pre-bloom,10,2016-02-09,-0.05432234619267834,-0.532870165977547
Carrickalinga Nth_11,Carrickalinga Nth,Fished,Pre-bloom,11,2017-02-14,-0.028427439627557317,-0.12105101343313385
Carrickalinga Nth_12,Carrickalinga Nth,Fished,Pre-bloom,12,2018-02-06,-0.10541450925569779,-0.6637593329995894
Carrickalinga Nth_13,Carrickalinga Nth,Fished,Pre-bloom,13,2019-02-19,0.19502501837198505,-0.6258754680594327
Carrickalinga Nth_14,Carrickalinga Nth,Fished,Pre-bloom,14,2020-02-09,-0.016081742894655637,-0.4076843122120739
Carrickalinga Nth_15,Carrickalinga Nth,Fished,Pre-bloom,15,2021-03-10,0.19887069027718915,-0.6739046143126602
Carrickalinga Nth_19,Carrickalinga Nth,Fished,Bloom,19,2026-01-13,1.9257651559853415,-0.33603967516778055
Dodd's Beach_1,Dodd's Beach,No-take,Pre-bloom,1,2005-03-08,-0.08250422559192584,0.06204616434204579
Dodd's Beach_2,Dodd's Beach,No-take,Pre-bloom,2,2006-02-23,-0.8419945002854003,1.1308508719146821
Dodd's Beach_3,Dodd's Beach,No-take,Pre-bloom,3,2007-02-22,-1.1000347636831984,1.3168597748420403
Dodd's Beach_6,Dodd's Beach,No-take,Pre-bloom,6,2012-02-01,-0.6499409573765251,1.084023512052757
Dodd's Beach_10,Dodd's Beach,No-take,Pre-bloom,10,2016-02-09,-0.5346025297134733,0.2840654873606872
Dodd's Beach_11,Dodd's Beach,No-take,Pre-bloom,11,2017-02-14,-0.25137475318742286,0.4873672033791056
