site_name,status,CAP1,MDS1,n_events
2nd Valley Boat Shed,Fished,-0.02203839418355454,-0.775916452190361,19
Cape Jervis South,Fished,0.6281056304842492,0.2043038237296587,4
Lasseters Reef,Fished,-0.22474382061923778,-0.752856878056629,12
Morgans,Fished,0.024203668347400332,0.35889867885505505,12
Nev's Windmills,Fished,-0.00752592242668326,0.49784083635535525,12
Rapid Head,No-take,-0.021287822731606204,0.09282336114341674,16
Rapid Head East,Fished,-0.06948688367286712,-0.0018347541152673092,11
Rapid Head SZ,No-take,0.08543443693518628,0.3932211840245867,11
Rapid Head SZ Site2,No-take,-0.009767393199725864,0.14793812912993615,10
Rapid Head South,No-take,0.06659558737502334,0.5408799852256312,10
