location,term,n,n_sites,R2,F_value,p_value,dispersion_p
Carrickalinga,period,110,14,0.05574098486221525,8.512432814958652,0.001,0.002
Carrickalinga,period:status,110,14,0.0061237734914781706,0.9351863902133614,0.611,
Eastern Spencer Gulf,period,6,3,0.2835505948476716,2.235231498652518,0.25,0.4013888888888889
Encounter Bay,period,46,7,0.20526800438127654,19.25259937673823,0.001,0.001
Encounter Bay,period:status,46,7,0.018368626927838364,1.7228394479129816,0.032,
Metro,period,25,3,0.14285342077379332,4.771320197507216,0.003,0.007
Rapid Head,period,117,10,0.06809866890371062,10.543583641917394,0.001,0.141
Rapid Head,period:status,117,10,0.007024855885117078,1.0876446895294853,0.352,
Southern Fleurieu,period,31,6,0.31275101416729967,17.94665888855139,0.001,0.702
Southern Metro,period,90,14,0.0912816882501689,15.545652812944047,0.001,0.001
Southern Metro,period:status,90,14,0.011622489274452268,1.979358473165253,0.022,
Southern Yorke,period,10,3,0.18549132946268476,2.776061205712951,0.027,0.695
Sponge Gardens,period,34,5,0.20106286763332043,10.41525546624189,0.001,0.088
Sponge Gardens,period:status,34,5,0.02937822130960955,1.5218209293691936,0.122,
Upper GSV,period,23,5,0.1948929084622823,7.1788046687519635,0.001,0.67
