dataset,dataset_label,location,ordination,available,reason,axis1_label,axis2_label,axis1_percent,axis2_percent,n_events,n_sites,cap_constraint_p
M1,M1 fish,Carrickalinga,pco,TRUE,,PCoA1 (10.1%),PCoA2 (5.9%),10.1,5.9,110,14,
M1,M1 fish,Carrickalinga,cap_period,TRUE,,CAP1 - Bloom axis (3.7%),MDS1 - residual axis (7.2%),3.7,7.2,110,14,0.001
M1,M1 fish,Carrickalinga,cap_status,TRUE,,CAP1 - Status axis (2.4%),MDS1 - residual axis (7.3%),2.4,7.3,110,14,
M1,M1 fish,Eastern Spencer Gulf,pco,TRUE,,PCoA1 (41.9%),PCoA2 (28.5%),41.9,28.5,5,3,
M1,M1 fish,Eastern Spencer Gulf,cap_period,TRUE,,CAP1 - Bloom axis (25.6%),MDS1 - residual axis (40.9%),25.6,40.9,5,3,0.5
M1,M1 fish,Eastern Spencer Gulf,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M1,M1 fish,Encounter Bay,pco,TRUE,,PCoA1 (12.4%),PCoA2 (5.8%),12.4,5.8,44,7,
M1,M1 fish,Encounter Bay,cap_period,TRUE,,CAP1 - Bloom axis (3.9%),MDS1 - residual axis (9.8%),3.9,9.8,44,7,0.001
M1,M1 fish,Encounter Bay,cap_status,TRUE,,CAP1 - Status axis (3.3%),MDS1 - residual axis (10.1%),3.3,10.1,44,7,
M1,M1 fish,Metro,pco,TRUE,,PCoA1 (26.8%),PCoA2 (8%),26.8,8,25,3,
M1,M1 fish,Metro,cap_period,TRUE,,CAP1 - Bloom axis (7.5%),MDS1 - residual axis (23.6%),7.5,23.6,25,3,0.009
M1,M1 fish,Metro,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M1,M1 fish,Rapid Head,pco,TRUE,,PCoA1 (15.6%),PCoA2 (5.3%),15.6,5.3,117,10,
M1,M1 fish,Rapid Head,cap_period,TRUE,,CAP1 - Bloom axis (3.3%),MDS1 - residual axis (12%),3.3,12,117,10,0.001
M1,M1 fish,Rapid Head,cap_status,TRUE,,CAP1 - Status axis (1.9%),MDS1 - residual axis (12.9%),1.9,12.9,117,10,
M1,M1 fish,Southern Fleurieu,pco,TRUE,,PCoA1 (15.5%),PCoA2 (10.5%),15.5,10.5,31,6,
M1,M1 fish,Southern Fleurieu,cap_period,TRUE,,CAP1 - Bloom axis (8.8%),MDS1 - residual axis (11.8%),8.8,11.8,31,6,0.001
M1,M1 fish,Southern Fleurieu,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M1,M1 fish,Southern Metro,pco,TRUE,,PCoA1 (9.3%),PCoA2 (4.4%),9.3,4.4,90,14,
M1,M1 fish,Southern Metro,cap_period,TRUE,,CAP1 - Bloom axis (2.8%),MDS1 - residual axis (7%),2.8,7,90,14,0.001
M1,M1 fish,Southern Metro,cap_status,TRUE,,CAP1 - Status axis (4%),MDS1 - residual axis (5.5%),4,5.5,90,14,
M1,M1 fish,Southern Yorke,pco,TRUE,,PCoA1 (50.3%),PCoA2 (17.7%),50.3,17.7,7,3,
M1,M1 fish,Southern Yorke,cap_period,TRUE,,CAP1 - Bloom axis (17.7%),MDS1 - residual axis (49.1%),17.7,49.1,7,3,0.16666666666666666
M1,M1 fish,Southern Yorke,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M1,M1 fish,Sponge Gardens,pco,TRUE,,PCoA1 (15.6%),PCoA2 (14.7%),15.6,14.7,34,5,
M1,M1 fish,Sponge Gardens,cap_period,TRUE,,CAP1 - Bloom axis (12%),MDS1 - residual axis (15.3%),12,15.3,34,5,0.001
M1,M1 fish,Sponge Gardens,cap_status,TRUE,,CAP1 - Status axis (6.8%),MDS1 - residual axis (14.5%),6.8,14.5,34,5,
M1,M1 fish,Upper GSV,pco,TRUE,,PCoA1 (15.2%),PCoA2 (11.4%),15.2,11.4,23,5,
M1,M1 fish,Upper GSV,cap_period,TRUE,,CAP1 - Bloom axis (7.5%),MDS1 - residual axis (11.9%),7.5,11.9,23,5,0.001
M1,M1 fish,Upper GSV,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_cryptic,M2 fish,Carrickalinga,pco,TRUE,,PCoA1 (3.5%),PCoA2 (2.9%),3.5,2.9,110,14,
M2_cryptic,M2 fish,Carrickalinga,cap_period,TRUE,,CAP1 - Bloom axis (1.3%),MDS1 - residual axis (2.3%),1.3,2.3,110,14,0.001
M2_cryptic,M2 fish,Carrickalinga,cap_status,TRUE,,CAP1 - Status axis (0.9%),MDS1 - residual axis (2.5%),0.9,2.5,110,14,
M2_cryptic,M2 fish,Eastern Spencer Gulf,pco,TRUE,,PCoA1 (58.1%),PCoA2 (16.9%),58.1,16.9,6,3,
M2_cryptic,M2 fish,Eastern Spencer Gulf,cap_period,TRUE,,CAP1 - Bloom axis (10.9%),MDS1 - residual axis (57.8%),10.9,57.8,6,3,0.5
M2_cryptic,M2 fish,Eastern Spencer Gulf,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_cryptic,M2 fish,Encounter Bay,pco,TRUE,,PCoA1 (16%),PCoA2 (5.5%),16,5.5,46,7,
M2_cryptic,M2 fish,Encounter Bay,cap_period,TRUE,,CAP1 - Bloom axis (2.4%),MDS1 - residual axis (10.8%),2.4,10.8,46,7,0.112
M2_cryptic,M2 fish,Encounter Bay,cap_status,TRUE,,CAP1 - Status axis (2%),MDS1 - residual axis (10.9%),2,10.9,46,7,
M2_cryptic,M2 fish,Metro,pco,TRUE,,PCoA1 (16.9%),PCoA2 (9.6%),16.9,9.6,25,3,
M2_cryptic,M2 fish,Metro,cap_period,TRUE,,CAP1 - Bloom axis (9.2%),MDS1 - residual axis (9.7%),9.2,9.7,25,3,0.003
M2_cryptic,M2 fish,Metro,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_cryptic,M2 fish,Rapid Head,pco,TRUE,,PCoA1 (2.6%),PCoA2 (2.3%),2.6,2.3,117,10,
M2_cryptic,M2 fish,Rapid Head,cap_period,TRUE,,CAP1 - Bloom axis (0.9%),MDS1 - residual axis (2.1%),0.9,2.1,117,10,0.009
M2_cryptic,M2 fish,Rapid Head,cap_status,TRUE,,CAP1 - Status axis (0.9%),MDS1 - residual axis (2.1%),0.9,2.1,117,10,
M2_cryptic,M2 fish,Southern Fleurieu,pco,TRUE,,PCoA1 (16.1%),PCoA2 (8.4%),16.1,8.4,31,6,
M2_cryptic,M2 fish,Southern Fleurieu,cap_period,TRUE,,CAP1 - Bloom axis (4.6%),MDS1 - residual axis (10.9%),4.6,10.9,31,6,0.029
M2_cryptic,M2 fish,Southern Fleurieu,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_cryptic,M2 fish,Southern Metro,pco,TRUE,,PCoA1 (4.2%),PCoA2 (2.6%),4.2,2.6,90,14,
M2_cryptic,M2 fish,Southern Metro,cap_period,TRUE,,CAP1 - Bloom axis (1.7%),MDS1 - residual axis (2.8%),1.7,2.8,90,14,0.001
M2_cryptic,M2 fish,Southern Metro,cap_status,TRUE,,CAP1 - Status axis (1.2%),MDS1 - residual axis (3.3%),1.2,3.3,90,14,
M2_cryptic,M2 fish,Southern Yorke,pco,TRUE,,PCoA1 (27.5%),PCoA2 (20.7%),27.5,20.7,10,3,
M2_cryptic,M2 fish,Southern Yorke,cap_period,TRUE,,CAP1 - Bloom axis (11.3%),MDS1 - residual axis (26.2%),11.3,26.2,10,3,0.44
M2_cryptic,M2 fish,Southern Yorke,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_cryptic,M2 fish,Sponge Gardens,pco,TRUE,,PCoA1 (14.6%),PCoA2 (8.4%),14.6,8.4,34,5,
M2_cryptic,M2 fish,Sponge Gardens,cap_period,TRUE,,CAP1 - Bloom axis (2.8%),MDS1 - residual axis (12.9%),2.8,12.9,34,5,0.5
M2_cryptic,M2 fish,Sponge Gardens,cap_status,TRUE,,CAP1 - Status axis (6%),MDS1 - residual axis (10.4%),6,10.4,34,5,
M2_cryptic,M2 fish,Upper GSV,pco,TRUE,,PCoA1 (16.9%),PCoA2 (9.2%),16.9,9.2,23,5,
M2_cryptic,M2 fish,Upper GSV,cap_period,TRUE,,CAP1 - Bloom axis (7.1%),MDS1 - residual axis (11.9%),7.1,11.9,23,5,0.005
M2_cryptic,M2 fish,Upper GSV,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_inverts,M2 invertebrates,Carrickalinga,pco,TRUE,,PCoA1 (5.1%),PCoA2 (4.1%),5.1,4.1,110,14,
M2_inverts,M2 invertebrates,Carrickalinga,cap_period,TRUE,,CAP1 - Bloom axis (2.5%),MDS1 - residual axis (3.7%),2.5,3.7,110,14,0.001
M2_inverts,M2 invertebrates,Carrickalinga,cap_status,TRUE,,CAP1 - Status axis (2.1%),MDS1 - residual axis (3.7%),2.1,3.7,110,14,
M2_inverts,M2 invertebrates,Eastern Spencer Gulf,pco,TRUE,,PCoA1 (34.2%),PCoA2 (28.2%),34.2,28.2,6,3,
M2_inverts,M2 invertebrates,Eastern Spencer Gulf,cap_period,TRUE,,CAP1 - Bloom axis (28%),MDS1 - residual axis (31.9%),28,31.9,6,3,0.25
M2_inverts,M2 invertebrates,Eastern Spencer Gulf,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_inverts,M2 invertebrates,Encounter Bay,pco,TRUE,,PCoA1 (19.8%),PCoA2 (14.4%),19.8,14.4,46,7,
M2_inverts,M2 invertebrates,Encounter Bay,cap_period,TRUE,,CAP1 - Bloom axis (15.7%),MDS1 - residual axis (14.4%),15.7,14.4,46,7,0.001
M2_inverts,M2 invertebrates,Encounter Bay,cap_status,TRUE,,CAP1 - Status axis (4%),MDS1 - residual axis (18.9%),4,18.9,46,7,
M2_inverts,M2 invertebrates,Metro,pco,TRUE,,PCoA1 (21%),PCoA2 (15.3%),21,15.3,25,3,
M2_inverts,M2 invertebrates,Metro,cap_period,TRUE,,CAP1 - Bloom axis (13.7%),MDS1 - residual axis (18.3%),13.7,18.3,25,3,0.003
M2_inverts,M2 invertebrates,Metro,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_inverts,M2 invertebrates,Rapid Head,pco,TRUE,,PCoA1 (5.3%),PCoA2 (4.1%),5.3,4.1,117,10,
M2_inverts,M2 invertebrates,Rapid Head,cap_period,TRUE,,CAP1 - Bloom axis (2.9%),MDS1 - residual axis (3.9%),2.9,3.9,117,10,0.001
M2_inverts,M2 invertebrates,Rapid Head,cap_status,TRUE,,CAP1 - Status axis (1.3%),MDS1 - residual axis (3.6%),1.3,3.6,117,10,
M2_inverts,M2 invertebrates,Southern Fleurieu,pco,TRUE,,PCoA1 (30.8%),PCoA2 (9.6%),30.8,9.6,31,6,
M2_inverts,M2 invertebrates,Southern Fleurieu,cap_period,TRUE,,CAP1 - Bloom axis (25%),MDS1 - residual axis (11.6%),25,11.6,31,6,0.001
M2_inverts,M2 invertebrates,Southern Fleurieu,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
M2_inverts,M2 invertebrates,Southern Metro,pco,TRUE,,PCoA1 (10.5%),PCoA2 (4.8%),10.5,4.8,90,14,
M2_inverts,M2 invertebrates,Southern Metro,cap_period,TRUE,,CAP1 - Bloom axis (4.3%),MDS1 - residual axis (6.9%),4.3,6.9,90,14,0.001
M2_inverts,M2 invertebrates,Southern Metro,cap_status,TRUE,,CAP1 - Status axis (2.7%),MDS1 - residual axis (8.3%),2.7,8.3,90,14,
M2_inverts,M2 invertebrates,Southern Yorke,pco,TRUE,,PCoA1 (35.3%),PCoA2 (20.7%),35.3,20.7,10,3,
M2_inverts,M2 invertebrates,Southern Yorke,cap_period,TRUE,,CAP1 - Bloom axis (19.9%),MDS1 - residual axis (35.2%),19.9,35.2,10,3,0.027
