dataset,dataset_label,location,ordination,id,site_name,status,period,sampling_event,sampling_event_start_date,survey_date,axis1,axis2
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_1,Carrickalinga (toilet),Fished,Pre-bloom,1,2005-03-08,2005-03-08,-2.192150705247116,-1.9788735941847893
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_2,Carrickalinga (toilet),Fished,Pre-bloom,2,2006-02-23,2006-02-23,-1.3541881847488089,-1.6190822945714824
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_3,Carrickalinga (toilet),Fished,Pre-bloom,3,2007-02-22,2007-02-22,-2.106557373088945,-1.5566350899108177
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_4,Carrickalinga (toilet),Fished,Pre-bloom,4,2008-02-05,2008-02-05,-1.5714163123871001,-1.2414354666411038
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_7,Carrickalinga (toilet),Fished,Pre-bloom,7,2012-11-23,2012-11-23,-0.7071470363019343,-0.5543136761390619
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_8,Carrickalinga (toilet),Fished,Pre-bloom,8,2013-02-28,2013-02-28,-1.6183353475588178,-1.1394986251372594
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_9,Carrickalinga (toilet),Fished,Pre-bloom,9,2014-01-18,2014-01-18,-1.1292764008753902,-1.318341490339531
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_10,Carrickalinga (toilet),Fished,Pre-bloom,10,2016-02-09,2016-02-09,-1.0761827775348156,-1.4478751982197067
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_11,Carrickalinga (toilet),Fished,Pre-bloom,11,2017-02-14,2017-02-14,-0.888129640907907,-1.0715798356501325
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_12,Carrickalinga (toilet),Fished,Pre-bloom,12,2018-02-06,2018-02-06,-1.8464565211323436,-0.8229462894661443
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_13,Carrickalinga (toilet),Fished,Pre-bloom,13,2019-02-19,2019-02-19,-1.2166816627763721,0.18548545278567347
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_14,Carrickalinga (toilet),Fished,Pre-bloom,14,2020-02-09,2020-02-09,-1.6211777968227548,-1.808718490302995
M1,M1 fish,Carrickalinga,pco,Carrickalinga (toilet)_15,Carrickalinga (toilet),Fished,Pre-bloom,15,2021-03-10,2021-03-10,-1.435451311824777,-1.1329479256228538
