dataset,dataset_label,location,id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1,period_cap_percent,status_cap_percent
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_1,Carrickalinga (toilet),Fished,Pre-bloom,1,2005-03-08,-1.0467244096079185,0.37301409355943865,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_2,Carrickalinga (toilet),Fished,Pre-bloom,2,2006-02-23,-0.5076797629123605,-0.20962790142365126,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_3,Carrickalinga (toilet),Fished,Pre-bloom,3,2007-02-22,-0.9028874516850144,0.3037978289436411,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_4,Carrickalinga (toilet),Fished,Pre-bloom,4,2008-02-05,-0.7243376349646554,-0.07163766295072006,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_7,Carrickalinga (toilet),Fished,Pre-bloom,7,2012-11-23,-0.27228899982390337,-0.1849958769070136,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_8,Carrickalinga (toilet),Fished,Pre-bloom,8,2013-02-28,-0.7157158180811249,0.1280956690072113,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_9,Carrickalinga (toilet),Fished,Pre-bloom,9,2014-01-18,-0.6802880059554001,-0.2878532985467793,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_10,Carrickalinga (toilet),Fished,Pre-bloom,10,2016-02-09,-0.5742594154118742,-0.1670953627934268,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_11,Carrickalinga (toilet),Fished,Pre-bloom,11,2017-02-14,-0.46173665752315485,-0.10396943691294387,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_12,Carrickalinga (toilet),Fished,Pre-bloom,12,2018-02-06,-0.932083505237393,0.19844485433393508,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_13,Carrickalinga (toilet),Fished,Pre-bloom,13,2019-02-19,-0.3453511247304728,0.21866546899651604,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_14,Carrickalinga (toilet),Fished,Pre-bloom,14,2020-02-09,-0.8978358439011053,0.07904332000075322,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_15,Carrickalinga (toilet),Fished,Pre-bloom,15,2021-03-10,-0.4946340024103951,0.12373435579616619,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga (toilet)_19,Carrickalinga (toilet),Fished,Bloom,19,2026-01-13,1.255971164221832,-0.6750889872112756,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Head_1,Carrickalinga Head,No-take,Pre-bloom,1,2005-03-08,-0.9809069345520148,1.2923738761367638,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Head_2,Carrickalinga Head,No-take,Pre-bloom,2,2006-02-23,-1.2339569430051258,1.7696085996390605,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Head_3,Carrickalinga Head,No-take,Pre-bloom,3,2007-02-22,-0.9125825065787221,1.6123440610069093,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Head_6,Carrickalinga Head,No-take,Pre-bloom,6,2012-02-01,0.8114521346465763,-0.347225826222064,3.7,2.4
