dataset,dataset_label,location,term,n,n_sites,R2,F_value,p_value,dispersion_p
M1,M1 fish,Carrickalinga,period,110,14,0.0823515019479717,14.676731873772296,0.001,0.233
M1,M1 fish,Carrickalinga,period:status,110,14,0.0074882558558528895,1.3345612502367366,0.162,
M1,M1 fish,Eastern Spencer Gulf,period,5,3,0.3122094046515696,1.720896405976675,0.5,0.9083333333333333
M1,M1 fish,Encounter Bay,period,44,7,0.06556878794333983,3.8918832207081917,0.001,0.987
M1,M1 fish,Encounter Bay,period:status,44,7,0.010147425977146764,0.6023078683101902,0.825,
M1,M1 fish,Metro,period,25,3,0.08638213840648575,2.5150929691873025,0.009,0.017
M1,M1 fish,Rapid Head,period,117,10,0.05597819827962894,10.123812045989185,0.001,0.007
M1,M1 fish,Rapid Head,period:status,117,10,0.0053241202857592694,0.9628818850870375,0.519,
M1,M1 fish,Southern Fleurieu,period,31,6,0.14080776409758924,5.928110869776621,0.001,0.304
M1,M1 fish,Southern Metro,period,90,14,0.07065595358471209,9.380228940925525,0.001,0.237
M1,M1 fish,Southern Metro,period:status,90,14,0.011498803079620376,1.5265720715826088,0.06,
M1,M1 fish,Southern Yorke,period,7,3,0.16599876153186263,1.5640669478573745,0.16666666666666666,0.562
M1,M1 fish,Sponge Gardens,period,34,5,0.14181119769450412,6.068634435937645,0.001,0.012
M1,M1 fish,Sponge Gardens,period:status,34,5,0.020851227377565836,0.8923024313471813,0.505,
M1,M1 fish,Upper GSV,period,23,5,0.13850027449025193,4.403774655186548,0.001,0.451
M2_cryptic,M2 fish,Carrickalinga,period,110,14,0.059156311678610705,7.237960426746024,0.001,0.001
M2_cryptic,M2 fish,Carrickalinga,period:status,110,14,0.0015012885728521198,0.1836873694638843,0.964,
M2_cryptic,M2 fish,Eastern Spencer Gulf,period,6,3,0.10903139567176305,1.0880077492789442,0.5,0.8013888888888889
M2_cryptic,M2 fish,Encounter Bay,period,46,7,0.024111111489967325,1.4566505075275902,0.156,0.467
M2_cryptic,M2 fish,Encounter Bay,period:status,46,7,0.0072336043120520615,0.43701151632054763,0.652,
M2_cryptic,M2 fish,Metro,period,25,3,0.25450072218866215,9.553170823152946,0.003,0.059
M2_cryptic,M2 fish,Rapid Head,period,117,10,0.02026924166711297,2.5514558096041795,0.003,0.038
M2_cryptic,M2 fish,Rapid Head,period:status,117,10,0.006847064020661295,0.8618961459516867,0.603,
M2_cryptic,M2 fish,Southern Fleurieu,period,31,6,0.11127305899499583,3.2923528701465865,0.033,0.122
M2_cryptic,M2 fish,Southern Metro,period,90,14,0.09674233616970715,11.199286747973064,0.001,0.001
M2_cryptic,M2 fish,Southern Metro,period:status,90,14,0.009807173852741533,1.1353183777927849,0.266,
M2_cryptic,M2 fish,Southern Yorke,period,10,3,0.11330821361991641,0.9851145212865489,0.44,0.558
M2_cryptic,M2 fish,Sponge Gardens,period,34,5,0.023555343169233287,0.9358333329159261,0.518,0.265
M2_cryptic,M2 fish,Sponge Gardens,period:status,34,5,0.04395443235742644,1.7462714354849662,0.063,
M2_cryptic,M2 fish,Upper GSV,period,23,5,0.16092024000573837,5.600375816856813,0.002,0.545
M2_inverts,M2 invertebrates,Carrickalinga,period,110,14,0.07439246275050793,11.291712925691034,0.001,0.02
M2_inverts,M2 invertebrates,Carrickalinga,period:status,110,14,0.010430716676078486,1.5832337573028163,0.084,
M2_inverts,M2 invertebrates,Eastern Spencer Gulf,period,6,3,0.26666367477103775,2.059288296501226,0.25,0.4013888888888889
M2_inverts,M2 invertebrates,Encounter Bay,period,46,7,0.20591268461337917,18.726807846476202,0.001,0.001
M2_inverts,M2 invertebrates,Encounter Bay,period:status,46,7,0.017270303865199184,1.5706543894616694,0.043,
M2_inverts,M2 invertebrates,Metro,period,25,3,0.1323952080651786,4.0634669632228,0.003,0.005
M2_inverts,M2 invertebrates,Rapid Head,period,117,10,0.09968123904584016,15.678542711634183,0.001,0.132
M2_inverts,M2 invertebrates,Rapid Head,period:status,117,10,0.005611535765496563,0.8826204812396166,0.628,
M2_inverts,M2 invertebrates,Southern Fleurieu,period,31,6,0.29215311133827965,15.757762498989225,0.001,0.888
M2_inverts,M2 invertebrates,Southern Metro,period,90,14,0.08740969959337541,13.744522585684642,0.001,0.001
M2_inverts,M2 invertebrates,Southern Metro,period:status,90,14,0.010936581149558464,1.719695723924802,0.036,
M2_inverts,M2 invertebrates,Southern Yorke,period,10,3,0.20078756616450816,2.9092284610586367,0.027,0.74
M2_inverts,M2 invertebrates,Sponge Gardens,period,34,5,0.22701705468306677,11.853754945839308,0.001,0.482
M2_inverts,M2 invertebrates,Sponge Gardens,period:status,34,5,0.03436971953297171,1.7946239037848906,0.066,
M2_inverts,M2 invertebrates,Upper GSV,period,23,5,0.14969093133418365,4.9763963700955305,0.001,0.986
