dataset,dataset_label,location,ordination,site_name,status,axis1,axis2,n_events
M1,M1 fish,Carrickalinga,cap_period,Carrickalinga (toilet),Fished,-0.5214179620016373,-0.2939603098932748,14
M1,M1 fish,Carrickalinga,cap_period,Carrickalinga Head,No-take,-0.1325009106859279,-0.26626580977181674,13
M1,M1 fish,Carrickalinga,cap_period,Carrickalinga North Site,Fished,0.1709915756573988,-0.013241927958508884,8
M1,M1 fish,Carrickalinga,cap_period,Carrickalinga North Site 2,Fished,0.4041349323902033,0.1345238717055502,9
M1,M1 fish,Carrickalinga,cap_period,Carrickalinga Nth,Fished,0.015670499368534627,0.020868782027568644,8
M1,M1 fish,Carrickalinga,cap_period,Dodd's Beach,No-take,-0.05876546313539621,-0.1460438633409152,11
M1,M1 fish,Carrickalinga,cap_period,Haycock Point,Fished,-0.13938960817003102,-0.198160214882057,7
M1,M1 fish,Carrickalinga,cap_period,Lady Bay,Fished,0.7455498635599983,0.43091686537935503,3
M1,M1 fish,Carrickalinga,cap_period,Myponga,Fished,0.23753669231593558,0.10289792345430726,4
M1,M1 fish,Carrickalinga,cap_period,Myponga South,No-take,-0.14929106427649877,-0.3486332884711731,11
M1,M1 fish,Carrickalinga,cap_period,Normanville Beach,Fished,0.8249055835076032,1.6430381947705552,5
M1,M1 fish,Carrickalinga,cap_period,Ripple Rock,No-take,-0.4058792401344163,-0.433301203138553,11
M1,M1 fish,Carrickalinga,cap_period,South Shores,Fished,0.764802629602177,1.0319566114368366,3
M1,M1 fish,Carrickalinga,cap_period,Yankalilla Mouth,Fished,0.6717136163773476,1.6282168327166366,3
M1,M1 fish,Carrickalinga,cap_status,Carrickalinga (toilet),Fished,-0.01967663829343926,0.6890371227093142,14
M1,M1 fish,Carrickalinga,cap_status,Carrickalinga Head,No-take,0.7578804415965044,-0.05831879568032145,13
M1,M1 fish,Carrickalinga,cap_status,Carrickalinga North Site,Fished,0.0069595010285878,0.019094979588459352,8
M1,M1 fish,Carrickalinga,cap_status,Carrickalinga North Site 2,Fished,-0.18620935770894276,-0.12521816352121862,9
M1,M1 fish,Carrickalinga,cap_status,Carrickalinga Nth,Fished,-0.4526722868499782,0.20017243424389553,8
M1,M1 fish,Carrickalinga,cap_status,Dodd's Beach,No-take,0.39249105600663114,-0.09561111663450231,11
M1,M1 fish,Carrickalinga,cap_status,Haycock Point,Fished,-0.2854090176837831,0.4502046921248731,7
M1,M1 fish,Carrickalinga,cap_status,Lady Bay,Fished,-0.6957397966290597,-0.47062704268224254,3
M1,M1 fish,Carrickalinga,cap_status,Myponga,Fished,-0.49908871609209554,-0.01955923637827641,4
M1,M1 fish,Carrickalinga,cap_status,Myponga South,No-take,0.8053763647188494,-0.007424244975145202,11
M1,M1 fish,Carrickalinga,cap_status,Normanville Beach,Fished,-2.2091464968326906,-1.2000219304953479,5
M1,M1 fish,Carrickalinga,cap_status,Ripple Rock,No-take,0.9696057937712648,0.17195757468639078,11
M1,M1 fish,Carrickalinga,cap_status,South Shores,Fished,-1.4769212305438089,-0.8445320127527914,3
