dataset,dataset_label,location,id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1,period_cap_percent,status_cap_percent
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,57_2014-09_GSVwinter.BRUVS_monoBRUVS_1,57,Fished,Pre-bloom,2014-09_GSVwinter.BRUVS_monoBRUVS_1,2014-09-03,0.6097721182718121,-2.3047866078482846,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,57_2016-02_GSVsummer.BRUVS_MonoBRUVS_1,57,Fished,Pre-bloom,2016-02_GSVsummer.BRUVS_MonoBRUVS_1,2016-02-12,0.0950891808658701,-1.2599922278405358,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,57_2026-02_Aldinga_BRUVS_1,57,Fished,Bloom,2026-02_Aldinga_BRUVS_1,2026-02-21,3.6995375717826455,-2.153177481831792,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,58_2014-09_GSVwinter.BRUVS_monoBRUVS_1,58,Fished,Pre-bloom,2014-09_GSVwinter.BRUVS_monoBRUVS_1,2014-09-03,-1.0467429063053815,-0.9598660978349374,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,58_2015-201706_SA_MPA_StereoBRUVS_2,58,Fished,Pre-bloom,2015-201706_SA_MPA_StereoBRUVS_2,2015-12-10,0.22176432461142057,-1.593399745155093,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,58_2016-02_GSVsummer.BRUVS_MonoBRUVS_1,58,Fished,Pre-bloom,2016-02_GSVsummer.BRUVS_MonoBRUVS_1,2016-02-12,-1.9098497195359372,0.09498300434313392,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,58_2019-12_Aldinga_BRUVS_1,58,Fished,Pre-bloom,2019-12_Aldinga_BRUVS_1,2019-12-07,-1.0354580119636858,0.15896841420122818,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,58_2025-02_Aldinga_BRUVS_1,58,Fished,Pre-bloom,2025-02_Aldinga_BRUVS_1,2025-02-06,1.5064547532120172,-1.9016012762639627,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,58_2026-02_Aldinga_BRUVS_1,58,Fished,Bloom,2026-02_Aldinga_BRUVS_1,2026-02-21,3.6538591898790345,-2.4388327402208847,13.8,14.1
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,7_2014-09_GSVwinter.BRUVS_monoBRUVS_1,7,No-take,Pre-bloom,2014-09_GSVwinter.BRUVS_monoBRUVS_1,2014-09-03,-0.8524323575695748,1.4198100750165294,13.8,14.1
