location,term,n,n_sites,R2,F_value,p_value,dispersion_p
Carrickalinga,period,110,14,0.059156311678610705,7.237960426746024,0.001,0.001
Carrickalinga,period:status,110,14,0.0015012885728521198,0.1836873694638843,0.964,
Eastern Spencer Gulf,period,6,3,0.10903139567176305,1.0880077492789442,0.5,0.8013888888888889
Encounter Bay,period,46,7,0.024111111489967325,1.4566505075275902,0.156,0.467
Encounter Bay,period:status,46,7,0.0072336043120520615,0.43701151632054763,0.652,
Metro,period,25,3,0.25450072218866215,9.553170823152946,0.003,0.059
Rapid Head,period,117,10,0.02026924166711297,2.5514558096041795,0.003,0.038
Rapid Head,period:status,117,10,0.006847064020661295,0.8618961459516867,0.603,
Southern Fleurieu,period,31,6,0.11127305899499583,3.2923528701465865,0.033,0.122
Southern Metro,period,90,14,0.09674233616970715,11.199286747973064,0.001,0.001
Southern Metro,period:status,90,14,0.009807173852741533,1.1353183777927849,0.266,
Southern Yorke,period,10,3,0.11330821361991641,0.9851145212865489,0.44,0.558
Sponge Gardens,period,34,5,0.023555343169233287,0.9358333329159261,0.518,0.265
Sponge Gardens,period:status,34,5,0.04395443235742644,1.7462714354849662,0.063,
Upper GSV,period,23,5,0.16092024000573837,5.600375816856813,0.002,0.545
