site_name,status,CAP1,MDS1,n_events
2nd Valley Boat Shed,Fished,-0.043261940747284566,-0.7737031764020079,19
Cape Jervis South,Fished,0.5279787452587374,0.24929011086297292,4
Lasseters Reef,Fished,-0.1966158689857957,-0.760094670125222,12
Morgans,Fished,0.018069157380175945,0.3401089269010286,12
Nev's Windmills,Fished,2.213454672247349e-5,0.4947206298688704,12
Rapid Head,No-take,-0.038182471480552246,0.09066510234126672,16
Rapid Head East,Fished,-0.059181581890579815,0.01590902808439616,11
Rapid Head SZ,No-take,0.06203984499879584,0.3984706732977902,11
Rapid Head SZ Site2,No-take,0.06918553626916082,0.12679902406856258,10
Rapid Head South,No-take,0.07399801046770757,0.5529572675100192,10
