site_name,status,CAP1,MDS1,n_events
Aldinga Pinacles,No-take,0.49150230642794424,-0.3854241881827085,5
Aldinga Reef,No-take,0.5765647521736728,-0.4054555553757999,5
Aldinga SZ1,No-take,1.1339051120685,-0.4910150876807797,2
Aldinga SZ3,No-take,0.7150697817723379,-0.024273927282282365,2
Gull Rock,Fished,0.8599875806300155,-0.14719576851950983,2
Horseshoe inner,Fished,-0.6258522329308984,0.7691243502217814,13
Horseshoe outer,Fished,0.13517847790256793,-0.7950095344740302,10
Moana inside,Fished,0.30200214267008646,-0.756031232770073,8
Moana outside,Fished,-0.10619939089048747,-0.3414730984947244,12
Noarlunga North Outside,No-take,-0.4641001942299387,0.7147085865690647,11
Noarlunga South Outside,No-take,-0.02064887948113661,0.7933166330660072,4
Pt Noarlunga inside,No-take,-0.45225677377471457,0.6559166210026273,8
Southport,Fished,0.3456975640185738,-0.37421425515119827,5
Willunga,Fished,0.6538911936700283,-0.3448495186922218,3
