"location","n","n_sites","R2","F_value","p_value","dispersion_p"
"Carrickalinga",110,14,0.0823515019479717,14.6252262529283,0.001,0.233
"Eastern Spencer Gulf",5,3,0.31220940465157,1.72089640597667,0.5,0.908333333333333
"Encounter Bay",44,7,0.0655687879433398,3.93535712526675,0.001,0.987
"Metro",25,3,0.0863821384064857,2.5150929691873,0.009,0.017
"Rapid Head",117,10,0.0559781982796289,10.1273583521314,0.001,0.007
"Southern Fleurieu",31,6,0.140807764097589,5.92811086977662,0.001,0.304
"Southern Metro",90,14,0.0706559535847121,9.31482988401267,0.001,0.237
"Southern Yorke",7,3,0.165998761531863,1.56406694785737,0.166666666666667,0.562
"Sponge Gardens",34,5,0.141811197694504,6.09206660599252,0.001,0.012
"Upper GSV",23,5,0.138500274490252,4.40377465518655,0.001,0.451
