location,year,status,n_sites_sampled,n_sites_possible,proportion_sites_sampled,total_events,total_transects
Carrickalinga,2005,Fished,2,10,0.2,2,8
Carrickalinga,2005,No-take,4,4,1,4,16
Carrickalinga,2006,Fished,2,10,0.2,2,8
Carrickalinga,2006,No-take,4,4,1,4,16
Carrickalinga,2007,Fished,2,10,0.2,2,8
Carrickalinga,2007,No-take,4,4,1,4,16
Carrickalinga,2008,Fished,1,10,0.1,1,3
Carrickalinga,2008,No-take,0,4,0,0,0
Carrickalinga,2011,Fished,1,10,0.1,1,2
Carrickalinga,2011,No-take,0,4,0,0,0
Carrickalinga,2012,Fished,3,10,0.3,3,12
Carrickalinga,2012,No-take,3,4,0.75,3,12
Carrickalinga,2013,Fished,5,10,0.5,5,20
Carrickalinga,2013,No-take,0,4,0,0,0
Carrickalinga,2014,Fished,2,10,0.2,2,7
Carrickalinga,2014,No-take,0,4,0,0,0
Carrickalinga,2016,Fished,4,10,0.4,4,16
Carrickalinga,2016,No-take,3,4,0.75,3,12
Carrickalinga,2017,Fished,9,10,0.9,9,36
Carrickalinga,2017,No-take,4,4,1,4,16
Carrickalinga,2018,Fished,9,10,0.9,9,36
Carrickalinga,2018,No-take,4,4,1,4,16
Carrickalinga,2019,Fished,4,10,0.4,4,16
Carrickalinga,2019,No-take,4,4,1,4,16
Carrickalinga,2020,Fished,5,10,0.5,5,20
Carrickalinga,2020,No-take,4,4,1,4,16
Carrickalinga,2021,Fished,4,10,0.4,4,16
Carrickalinga,2021,No-take,4,4,1,4,16
Carrickalinga,2023,Fished,0,10,0,0,0
Carrickalinga,2023,No-take,2,4,0.5,3,10
Carrickalinga,2024,Fished,1,10,0.1,1,4
Carrickalinga,2024,No-take,1,4,0.25,1,4
Carrickalinga,2026,Fished,10,10,1,10,44
Carrickalinga,2026,No-take,4,4,1,4,20
Eastern Spencer Gulf,2004,Fished,1,3,0.3333333333333333,1,8
Eastern Spencer Gulf,2008,Fished,1,3,0.3333333333333333,1,3
Eastern Spencer Gulf,2026,Fished,3,3,1,3,12
Encounter Bay,2005,Fished,2,5,0.4,2,8
Encounter Bay,2005,No-take,0,2,0,0,0
Encounter Bay,2006,Fished,2,5,0.4,2,8
Encounter Bay,2006,No-take,0,2,0,0,0
Encounter Bay,2007,Fished,3,5,0.6,5,20
Encounter Bay,2007,No-take,0,2,0,0,0
Encounter Bay,2012,Fished,1,5,0.2,1,4
Encounter Bay,2012,No-take,0,2,0,0,0
Encounter Bay,2013,Fished,3,5,0.6,6,23
Encounter Bay,2013,No-take,1,2,0.5,2,6
Encounter Bay,2017,Fished,5,5,1,5,20
Encounter Bay,2017,No-take,0,2,0,0,0
Encounter Bay,2018,Fished,5,5,1,5,20
Encounter Bay,2018,No-take,1,2,0.5,1,4
Encounter Bay,2020,Fished,3,5,0.6,3,12
Encounter Bay,2020,No-take,1,2,0.5,1,4
Encounter Bay,2025,Fished,4,5,0.8,4,8
Encounter Bay,2025,No-take,0,2,0,0,0
Encounter Bay,2026,Fished,5,5,1,5,20
Encounter Bay,2026,No-take,2,2,1,2,8
Metro,2015,Fished,1,3,0.3333333333333333,1,4
Metro,2016,Fished,3,3,1,5,12
Metro,2017,Fished,1,3,0.3333333333333333,1,4
Metro,2018,Fished,1,3,0.3333333333333333,1,4
Metro,2019,Fished,2,3,0.6666666666666666,4,8
Metro,2020,Fished,1,3,0.3333333333333333,1,4
Metro,2021,Fished,1,3,0.3333333333333333,1,4
Metro,2022,Fished,3,3,1,5,12
Metro,2023,Fished,1,3,0.3333333333333333,1,4
Metro,2025,Fished,2,3,0.6666666666666666,4,8
Metro,2026,Fished,1,3,0.3333333333333333,1,4
Rapid Head,2005,Fished,2,6,0.3333333333333333,2,8
Rapid Head,2005,No-take,2,4,0.5,2,8
Rapid Head,2006,Fished,2,6,0.3333333333333333,2,8
Rapid Head,2006,No-take,1,4,0.25,1,4
Rapid Head,2007,Fished,3,6,0.5,3,12
Rapid Head,2007,No-take,1,4,0.25,1,4
Rapid Head,2008,Fished,2,6,0.3333333333333333,2,7
Rapid Head,2008,No-take,1,4,0.25,1,5
Rapid Head,2011,Fished,2,6,0.3333333333333333,2,9
Rapid Head,2011,No-take,1,4,0.25,1,3
Rapid Head,2012,Fished,3,6,0.5,3,11
Rapid Head,2012,No-take,2,4,0.5,2,8
Rapid Head,2013,Fished,2,6,0.3333333333333333,2,8
Rapid Head,2013,No-take,2,4,0.5,2,8
Rapid Head,2014,Fished,2,6,0.3333333333333333,2,9
Rapid Head,2014,No-take,1,4,0.25,1,4
Rapid Head,2016,Fished,4,6,0.6666666666666666,4,16
Rapid Head,2016,No-take,3,4,0.75,3,16
Rapid Head,2017,Fished,5,6,0.8333333333333334,5,20
Rapid Head,2017,No-take,4,4,1,4,16
Rapid Head,2018,Fished,5,6,0.8333333333333334,5,20
Rapid Head,2018,No-take,4,4,1,4,20
Rapid Head,2019,Fished,5,6,0.8333333333333334,5,20
Rapid Head,2019,No-take,4,4,1,4,16
Rapid Head,2020,Fished,6,6,1,11,42
