site_code,status,error
COO18,Saved,NA
COO19,Saved,NA
GSV1,Saved,NA
GSV105,Saved,NA
GSV106,Saved,NA
GSV107,Saved,NA
GSV109,Saved,NA
GSV11,Saved,NA
GSV110,Saved,NA
GSV111,Saved,NA
GSV112,Saved,NA
GSV113,Saved,NA
GSV114,Saved,NA
GSV115,Saved,NA
GSV116,Saved,NA
GSV117,Saved,NA
GSV118,Saved,NA
GSV119,Saved,NA
GSV121,Saved,NA
GSV124,Saved,NA
GSV125,Saved,NA
GSV127,Saved,NA
GSV128,Saved,NA
GSV129,Saved,NA
GSV131,Saved,NA
GSV134,Saved,NA
GSV135,Saved,NA
GSV136,Saved,NA
GSV138,Saved,NA
GSV14,Saved,NA
GSV140,Saved,NA
GSV15,Saved,NA
GSV17,Saved,NA
GSV18,Saved,NA
GSV182,Saved,NA
GSV183,Saved,NA
GSV185,Saved,NA
GSV189,Saved,NA
GSV190,Saved,NA
GSV191,Saved,NA
GSV194,Saved,NA
GSV2,Saved,NA
GSV21,Saved,NA
GSV24,Saved,NA
GSV26,Saved,NA
GSV3,Saved,NA
GSV30,Saved,NA
GSV34,Saved,NA
GSV39,Saved,NA
GSV4,Saved,NA
GSV40,Saved,NA
GSV41,Saved,NA
GSV42,Saved,NA
GSV43,Saved,NA
GSV45,Saved,NA
GSV46,Saved,NA
GSV47,Saved,NA
GSV5,Saved,NA
GSV53,Saved,NA
GSV55,Saved,NA
GSV57,Saved,NA
GSV58,Saved,NA
GSV59,Saved,NA
GSV7,Saved,NA
GSV9,Saved,NA
GSV93,Saved,NA
GSV95,Saved,NA
SSG46,Saved,NA
SSG62,Saved,NA
SSG64,Saved,NA
