spatial_level,group_name,method,plots_saved,status
location,Aldinga,M1 fish,"Aldinga_M1_fish_stacked_abundance_period.png, Aldinga_M1_fish_stacked_abundance_period_split.png",Saved
location,Aldinga,M2 fish,"Aldinga_M2_fish_stacked_abundance_period.png, Aldinga_M2_fish_stacked_abundance_period_split.png",Saved
location,Aldinga,M2 invertebrates,"Aldinga_M2_invertebrates_stacked_abundance_period.png, Aldinga_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Carrickalinga,M1 fish,"Carrickalinga_M1_fish_stacked_abundance_period.png, Carrickalinga_M1_fish_stacked_abundance_period_split.png",Saved
location,Carrickalinga,M2 fish,"Carrickalinga_M2_fish_stacked_abundance_period.png, Carrickalinga_M2_fish_stacked_abundance_period_split.png",Saved
location,Carrickalinga,M2 invertebrates,"Carrickalinga_M2_invertebrates_stacked_abundance_period.png, Carrickalinga_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Metro,M1 fish,"Metro_M1_fish_stacked_abundance_period.png, Metro_M1_fish_stacked_abundance_period_split.png",Saved
location,Metro,M2 fish,"Metro_M2_fish_stacked_abundance_period.png, Metro_M2_fish_stacked_abundance_period_split.png",Saved
location,Metro,M2 invertebrates,"Metro_M2_invertebrates_stacked_abundance_period.png, Metro_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Point Turton,M1 fish,"Point_Turton_M1_fish_stacked_abundance_period.png, Point_Turton_M1_fish_stacked_abundance_period_split.png",Saved
location,Point Turton,M2 fish,"Point_Turton_M2_fish_stacked_abundance_period.png, Point_Turton_M2_fish_stacked_abundance_period_split.png",Saved
location,Point Turton,M2 invertebrates,"Point_Turton_M2_invertebrates_stacked_abundance_period.png, Point_Turton_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Port Noarlunga,M1 fish,"Port_Noarlunga_M1_fish_stacked_abundance_period.png, Port_Noarlunga_M1_fish_stacked_abundance_period_split.png",Saved
location,Port Noarlunga,M2 fish,"Port_Noarlunga_M2_fish_stacked_abundance_period.png, Port_Noarlunga_M2_fish_stacked_abundance_period_split.png",Saved
location,Port Noarlunga,M2 invertebrates,"Port_Noarlunga_M2_invertebrates_stacked_abundance_period.png, Port_Noarlunga_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Rapid Head,M1 fish,"Rapid_Head_M1_fish_stacked_abundance_period.png, Rapid_Head_M1_fish_stacked_abundance_period_split.png",Saved
location,Rapid Head,M2 fish,"Rapid_Head_M2_fish_stacked_abundance_period.png, Rapid_Head_M2_fish_stacked_abundance_period_split.png",Saved
location,Rapid Head,M2 invertebrates,"Rapid_Head_M2_invertebrates_stacked_abundance_period.png, Rapid_Head_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Southern Fleurieu,M1 fish,"Southern_Fleurieu_M1_fish_stacked_abundance_period.png, Southern_Fleurieu_M1_fish_stacked_abundance_period_split.png",Saved
location,Southern Fleurieu,M2 fish,"Southern_Fleurieu_M2_fish_stacked_abundance_period.png, Southern_Fleurieu_M2_fish_stacked_abundance_period_split.png",Saved
location,Southern Fleurieu,M2 invertebrates,"Southern_Fleurieu_M2_invertebrates_stacked_abundance_period.png, Southern_Fleurieu_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Sponge Gardens,M1 fish,"Sponge_Gardens_M1_fish_stacked_abundance_period.png, Sponge_Gardens_M1_fish_stacked_abundance_period_split.png",Saved
location,Sponge Gardens,M2 fish,"Sponge_Gardens_M2_fish_stacked_abundance_period.png, Sponge_Gardens_M2_fish_stacked_abundance_period_split.png",Saved
location,Sponge Gardens,M2 invertebrates,"Sponge_Gardens_M2_invertebrates_stacked_abundance_period.png, Sponge_Gardens_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Troubridge Point,M1 fish,"Troubridge_Point_M1_fish_stacked_abundance_period.png, Troubridge_Point_M1_fish_stacked_abundance_period_split.png",Saved
location,Troubridge Point,M2 fish,"Troubridge_Point_M2_fish_stacked_abundance_period.png, Troubridge_Point_M2_fish_stacked_abundance_period_split.png",Saved
location,Troubridge Point,M2 invertebrates,"Troubridge_Point_M2_invertebrates_stacked_abundance_period.png, Troubridge_Point_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Upper GSV,M1 fish,"Upper_GSV_M1_fish_stacked_abundance_period.png, Upper_GSV_M1_fish_stacked_abundance_period_split.png",Saved
location,Upper GSV,M2 fish,"Upper_GSV_M2_fish_stacked_abundance_period.png, Upper_GSV_M2_fish_stacked_abundance_period_split.png",Saved
location,Upper GSV,M2 invertebrates,"Upper_GSV_M2_invertebrates_stacked_abundance_period.png, Upper_GSV_M2_invertebrates_stacked_abundance_period_split.png",Saved
location,Victor Harbor,M1 fish,"Victor_Harbor_M1_fish_stacked_abundance_period.png, Victor_Harbor_M1_fish_stacked_abundance_period_split.png",Saved
location,Victor Harbor,M2 fish,"Victor_Harbor_M2_fish_stacked_abundance_period.png, Victor_Harbor_M2_fish_stacked_abundance_period_split.png",Saved
location,Victor Harbor,M2 invertebrates,"Victor_Harbor_M2_invertebrates_stacked_abundance_period.png, Victor_Harbor_M2_invertebrates_stacked_abundance_period_split.png",Saved
region,Adelaide Metro,M1 fish,"Adelaide_Metro_M1_fish_stacked_abundance_period.png, Adelaide_Metro_M1_fish_stacked_abundance_period_split.png",Saved
region,Adelaide Metro,M2 fish,"Adelaide_Metro_M2_fish_stacked_abundance_period.png, Adelaide_Metro_M2_fish_stacked_abundance_period_split.png",Saved
region,Adelaide Metro,M2 invertebrates,"Adelaide_Metro_M2_invertebrates_stacked_abundance_period.png, Adelaide_Metro_M2_invertebrates_stacked_abundance_period_split.png",Saved
region,Eastern Spencer Gulf,M1 fish,"Eastern_Spencer_Gulf_M1_fish_stacked_abundance_period.png, Eastern_Spencer_Gulf_M1_fish_stacked_abundance_period_split.png",Saved
region,Eastern Spencer Gulf,M2 fish,"Eastern_Spencer_Gulf_M2_fish_stacked_abundance_period.png, Eastern_Spencer_Gulf_M2_fish_stacked_abundance_period_split.png",Saved
region,Eastern Spencer Gulf,M2 invertebrates,"Eastern_Spencer_Gulf_M2_invertebrates_stacked_abundance_period.png, Eastern_Spencer_Gulf_M2_invertebrates_stacked_abundance_period_split.png",Saved
region,Fleurieu,M1 fish,"Fleurieu_M1_fish_stacked_abundance_period.png, Fleurieu_M1_fish_stacked_abundance_period_split.png",Saved
region,Fleurieu,M2 fish,"Fleurieu_M2_fish_stacked_abundance_period.png, Fleurieu_M2_fish_stacked_abundance_period_split.png",Saved
region,Fleurieu,M2 invertebrates,"Fleurieu_M2_invertebrates_stacked_abundance_period.png, Fleurieu_M2_invertebrates_stacked_abundance_period_split.png",Saved
region,Kangaroo Island,M1 fish,"Kangaroo_Island_M1_fish_stacked_abundance_period.png, Kangaroo_Island_M1_fish_stacked_abundance_period_split.png",Saved
region,Kangaroo Island,M2 fish,"Kangaroo_Island_M2_fish_stacked_abundance_period.png, Kangaroo_Island_M2_fish_stacked_abundance_period_split.png",Saved
region,Kangaroo Island,M2 invertebrates,"Kangaroo_Island_M2_invertebrates_stacked_abundance_period.png, Kangaroo_Island_M2_invertebrates_stacked_abundance_period_split.png",Saved
region,South Coast,M1 fish,"South_Coast_M1_fish_stacked_abundance_period.png, South_Coast_M1_fish_stacked_abundance_period_split.png",Saved
region,South Coast,M2 fish,"South_Coast_M2_fish_stacked_abundance_period.png, South_Coast_M2_fish_stacked_abundance_period_split.png",Saved
region,South Coast,M2 invertebrates,"South_Coast_M2_invertebrates_stacked_abundance_period.png, South_Coast_M2_invertebrates_stacked_abundance_period_split.png",Saved
region,Southern Yorke,M1 fish,"Southern_Yorke_M1_fish_stacked_abundance_period.png, Southern_Yorke_M1_fish_stacked_abundance_period_split.png",Saved
region,Southern Yorke,M2 fish,"Southern_Yorke_M2_fish_stacked_abundance_period.png, Southern_Yorke_M2_fish_stacked_abundance_period_split.png",Saved
region,Southern Yorke,M2 invertebrates,"Southern_Yorke_M2_invertebrates_stacked_abundance_period.png, Southern_Yorke_M2_invertebrates_stacked_abundance_period_split.png",Saved
region,Upper Gulf St Vincent,M1 fish,"Upper_Gulf_St_Vincent_M1_fish_stacked_abundance_period.png, Upper_Gulf_St_Vincent_M1_fish_stacked_abundance_period_split.png",Saved
region,Upper Gulf St Vincent,M2 fish,"Upper_Gulf_St_Vincent_M2_fish_stacked_abundance_period.png, Upper_Gulf_St_Vincent_M2_fish_stacked_abundance_period_split.png",Saved
region,Upper Gulf St Vincent,M2 invertebrates,"Upper_Gulf_St_Vincent_M2_invertebrates_stacked_abundance_period.png, Upper_Gulf_St_Vincent_M2_invertebrates_stacked_abundance_period_split.png",Saved
