reporting_name,period,scientific,family,genus,species,common_name,display_name,n_deployments,n_deployments_present,occurrence_percent,occurrence_se,average_abundance,abundance_se
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Aplodactylidae Aplodactylus arctidens,Aplodactylidae,Aplodactylus,arctidens,Marblefish,<i>Aplodactylus arctidens</i><br>(Marblefish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Apogonidae Siphamia cephalotes,Apogonidae,Siphamia,cephalotes,Wood's siphonfish,<i>Siphamia cephalotes</i><br>(Wood's siphonfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Apogonidae Vincentia conspersa,Apogonidae,Vincentia,conspersa,Southern cardinalfish,<i>Vincentia conspersa</i><br>(Southern cardinalfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Aracanidae Anoplocapros amygdaloides,Aracanidae,Anoplocapros,amygdaloides,Western smooth boxfish,<i>Anoplocapros amygdaloides</i><br>(Western smooth boxfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Aracanidae Anoplocapros lenticularis,Aracanidae,Anoplocapros,lenticularis,White-barred boxfish,<i>Anoplocapros lenticularis</i><br>(White-barred boxfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Aracanidae Aracana aurita,Aracanidae,Aracana,aurita,Shaws cowfish,<i>Aracana aurita</i><br>(Shaws cowfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Aracanidae Aracana ornata,Aracanidae,Aracana,ornata,Ornate cowfish,<i>Aracana ornata</i><br>(Ornate cowfish),24,1,4.166666666666667,4.078937543219004,0.041666666666666664,0.04166666666666667
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Aracanidae Aracana spp,Aracanidae,Aracana,spp,Cowfish,<i>Aracana spp</i><br>(Cowfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Arripidae Arripis georgianus,Arripidae,Arripis,georgianus,Australian herring,<i>Arripis georgianus</i><br>(Australian herring),24,2,8.333333333333334,5.64169333655275,1.8333333333333333,1.556504196592371
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Arripidae Arripis trutta,Arripidae,Arripis,trutta,Eastern Australian Salmon,<i>Arripis trutta</i><br>(Eastern Australian Salmon),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Arripidae Arripis truttaceus,Arripidae,Arripis,truttaceus,Western Australian salmon,<i>Arripis truttaceus</i><br>(Western Australian salmon),24,16,66.66666666666667,9.622504486493764,8.708333333333334,3.29716565075254
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Asteriidae Asteriidae spp,Asteriidae,Asteriidae,spp,Asteriidae Asteriidae spp,<i>Asteriidae spp</i><br>(Asteriidae Asteriidae spp),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Asteriidae Coscinasterias muricata,Asteriidae,Coscinasterias,muricata,Eleven arm seastar,<i>Coscinasterias muricata</i><br>(Eleven arm seastar),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Atherinidae Atherinidae spp,Atherinidae,Atherinidae,spp,Hardyhead,<i>Atherinidae spp</i><br>(Hardyhead),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Atherinidae Atherinosoma microstoma,Atherinidae,Atherinosoma,microstoma,Smallmouth Hardyhead,<i>Atherinosoma microstoma</i><br>(Smallmouth Hardyhead),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Aulopidae Latropiscis purpurissatus,Aulopidae,Latropiscis,purpurissatus,Sergeant baker,<i>Latropiscis purpurissatus</i><br>(Sergeant baker),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Berycidae Centroberyx gerrardi,Berycidae,Centroberyx,gerrardi,Bight redfish,<i>Centroberyx gerrardi</i><br>(Bight redfish),24,0,0,0,0,0
Aldinga - Aldinga Reef Sanctuary Zone,Bloom 2026-02,Berycidae Centroberyx lineatus,Berycidae,Centroberyx,lineatus,Swallowtail,<i>Centroberyx lineatus</i><br>(Swallowtail),24,0,0,0,0,0
