site_code,site_name,latitude,longitude
COO18,Pullen Island,-35.53778,138.69255
COO19,Port Elliot Deep,-35.53933,138.68851
COO20,Basham's Beach,-35.524609999999996,138.69992
COO30,Margaret Brock Reef SE,-36.950759999999995,139.59953000000002
COO31,Margaret Brock Reef North 5m,-36.9481,139.59011999999998
COO32,Margaret Brock Reef North 10,-36.94507,139.59677
COO33,Kingston South Control 1,-36.77928,139.75878
COO34,Kingston South control 2,-36.76642,139.76296000000002
COO35,Kingston SZ 3,-36.73718,139.77555
COO36,Kingston SZ 1,-36.72985,139.77534
COO37,Kingston SZ 2,-36.7288,139.78598
COO38,Kingston SZ 4,-36.71961,139.77873
COO39,Kingston North Control 2,-36.70194,139.78662
COO40,Kingston North Control 1,-36.66592,139.78806
EYR23,Hanson Bay,-36.017759999999996,136.85533
EYR24,Pearson Island Bay NW,-33.940509999999996,134.26668
EYR25,Flinders Island NW reef,-33.68615,134.46528999999998
EYR26,Flinders Island NW point,-33.68935,134.47376
EYR27,Pearson Island North,-33.940909999999995,134.27285
EYR28,Pearson Island SE bay,-33.96242,134.27149
EYR29,Pearson Island east,-33.951240000000006,134.27428999999998
EYR30,Pearson Island inner bay north,-33.9536,134.26949
EYR31,Pearson Island inner bay south,-33.960440000000006,134.26785
EYR32,Flinders Island anchorage,-33.68436,134.48677
EYR33,Greenly Island,-34.6438,134.79522
EYR34,Wedge Island west ladders,-35.1469,136.44682
EYR35,Bakers Hole,-33.01207,134.18018999999998
EYR36,Cave Bay,-33.01073,134.17133
EYR37,Cave Beach West,-33.008309999999994,134.16429
EYR38,Cave Beach Point,-33.00658,134.16564
EYR39,Smooth Pools,-32.92558,134.07834
EYR40,Granites South,-32.92133,134.07803
EYR41,Point Westell North,-32.906690000000005,134.0673
EYR42,Wayne s World,-32.90586,134.07336999999998
EYR43,High Cliff North,-32.864979999999996,134.10091
EYR44,Mouth of Baird Bay,-33.18679,134.3529
EYR45,Jones Island NW,-33.18513,134.35915
EYR46,The Mad Mile,-33.18396,134.37776000000002
EYR47,Solar Tubes,-33.095079999999996,134.257
EYR48,Flinders Island North,-33.67553,134.51647
EYR50,Horny Point,-35.00533,136.19066999999998
EYR51,Memory Cove,-34.959920000000004,135.99861
EYR52,Memory Bommie,-34.92844,135.99281000000002
EYR53,Grindal Island,-34.917609999999996,136.03392
EYR54,Taylors South,-34.893359999999994,136.01236
EYR55,McLaren South,-34.80433,136.00877
EYR56,Boston Island North,-34.66903,135.92636000000002
EYR57,Langton Island,-34.59805,136.24837
EYR58,Smith Rocks,-34.587140000000005,136.26601000000002
EYR59,Dalby Island,-34.56293,136.23466000000002
EYR60,Kirkby Island,-34.55311,136.21158
EYR61,Reevesby Island,-34.53094,136.28894
EYR62,Winceby Island,-34.48919,136.28933999999998
EYR63,Point Sir Isaac South,-34.43658,135.19186000000002
EYR64,Point Sir Isaac,-34.4282,135.20443999999998
EYR65,Frenchmans,-34.41943,135.35858000000002
EYR66,Coles Point,-34.37894,135.35258000000002
EYR67,Point Drummond,-34.1747,135.26001000000002
EYR68,Flinders Island,-33.71843,134.54825
EYR69,Topgallant Island,-33.71548,134.62463
EYR70,Waldegrave Island,-33.59197,134.75929
EYR71,South East Slade Point,-33.05037,134.17371
EYR72,Eagle Rock (1/2 way between Cape Blanche & Slade Point),-33.02705,134.14383999999998
EYR73,Eagle Bay (1/2 way between Cape Blanche & Slade Point),-33.02612,134.14757
EYR74,The Granites,-32.87642,134.08746000000002
EYR75,Dreadnaughts,-32.864670000000004,134.09807
EYR76,Cape Bauer,-32.718,134.06143
EYR77,Cape Bauer East,-32.7163,134.06381000000002
EYR78,Donnington Rocks,-34.71975,135.99806
GSV1,Carrickalinga (toilet),-35.42445,138.31902
GSV100,Port Noarlunga Jetty offshore,-35.1493,138.4643
GSV101,Port Stanvac Jetty deep,-35.1071,138.4695
GSV102,Port Stanvac Jetty Shallow,-35.1092,138.469
GSV103,Stenhouse Bay,-35.27071,136.94597
GSV104,Edithburgh Jetty,-35.08483,137.74957
GSV105,Marino Rocks,-35.0525,138.5027
GSV106,Normanville Beach,-35.44665,138.30497
