campaignid,sample,date,location,region,depth_m,method,successful_count,successful_length,status,reporting_location,reporting_sanctuary,reporting_name,site,uwa_site_code,year,period,event_number,start_date,start_month,geometry
2025-04_Pages_BRUVS,PIEI01_2504,2025-04-09,Encounter,South Coast,20.6,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ East,2025,Bloom,1,2025-04-09,2025-04,"c(138.304571025074, -35.7575320266187)"
2025-04_Pages_BRUVS,PIEI02_2504,2025-04-09,Encounter,South Coast,23.3,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ East,2025,Bloom,1,2025-04-09,2025-04,"c(138.306502969936, -35.7588769868016)"
2025-04_Pages_BRUVS,PIEI03_2504,2025-04-09,Encounter,South Coast,21.2,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ East,2025,Bloom,1,2025-04-09,2025-04,"c(138.30562395975, -35.7606940157712)"
2025-04_Pages_BRUVS,PIEI04_2504,2025-04-09,Encounter,South Coast,18.8,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ East,2025,Bloom,1,2025-04-09,2025-04,"c(138.303100001067, -35.7615720201284)"
2025-04_Pages_BRUVS,PIEO01_2504,2025-04-09,Encounter,South Coast,21.5,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside East,2025,Bloom,1,2025-04-09,2025-04,"c(138.292430005968, -35.7823589723557)"
2025-04_Pages_BRUVS,PIEO02_2504,2025-04-09,Encounter,South Coast,16.4,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside East,2025,Bloom,1,2025-04-09,2025-04,"c(138.291924996302, -35.7805019617081)"
2025-04_Pages_BRUVS,PIEO03_2504,2025-04-09,Encounter,South Coast,16.2,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside East,2025,Bloom,1,2025-04-09,2025-04,"c(138.293177001178, -35.7789919618517)"
2025-04_Pages_BRUVS,PIEO04_2504,2025-04-09,Encounter,South Coast,14.2,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside East,2025,Bloom,1,2025-04-09,2025-04,"c(138.294811975211, -35.7773940358311)"
2025-04_Pages_BRUVS,PIWI01_2504,2025-04-09,Encounter,South Coast,19.4,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ West,2025,Bloom,1,2025-04-09,2025-04,"c(138.298090975732, -35.7612479757518)"
2025-04_Pages_BRUVS,PIWI02_2504,2025-04-09,Encounter,South Coast,15.8,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ West,2025,Bloom,1,2025-04-09,2025-04,"c(138.297353032976, -35.7596430089325)"
