scientific,portal_name,method,n_transects_with_large_school,max_count_in_a_transect,mean_count_across_qualifying_transects
Plesiopidae Trachinops noarlungae,Trachinops noarlungae,M1_fish,500,5900,494.6
Pempherididae Parapriacanthus elongatus,Parapriacanthus elongatus,M1_fish,101,4552,434.2
Apogonidae Siphamia cephalotes,Siphamia cephalotes,M1_fish,74,1000,203
Scorpididae Scorpis aequipinnis,Scorpis aequipinnis,M1_fish,58,161,76.9
Pempherididae Pempheris klunzingeri,Pempheris klunzingeri,M1_fish,51,358,120.3
Labridae Siphonognathus beddomei,Siphonognathus beddomei,M1_fish,46,1000,96
Pempherididae Pempheris multiradiata,Pempheris multiradiata,M1_fish,35,325,100.8
Labridae Notolabrus tetricus,Notolabrus tetricus,M1_fish,22,153,74
Dinolestidae Dinolestes lewini,Dinolestes lewini,M1_fish,17,150,90.9
Kyphosidae Kyphosus sydneyanus,Kyphosus sydneyanus,M1_fish,15,150,78.5
Pempherididae Pempheris multiradiata,Pempheris multiradiata,M2_cryptic_fish,12,180,90
Tripterygiidae Helcogramma decurrens,Helcogramma decurrens,M2_cryptic_fish,11,195,102.3
Girellidae Girella zebra,Girella zebra,M1_fish,9,233,88.3
Clupeidae Unknown spp,Clupeidae spp,M1_fish,6,800,263.5
Plesiopidae Trachinops caudimaculatus,Trachinops caudimaculatus,M1_fish,6,450,172.2
Arripidae Arripis truttaceus,Arripis truttaceus,M1_fish,6,400,232.5
Pempherididae Pempheris ornata,Pempheris ornata,M1_fish,5,565,183
Pempherididae Parapriacanthus elongatus,Parapriacanthus elongatus,M2_cryptic_fish,5,250,120
Enoplosidae Enoplosus armatus,Enoplosus armatus,M1_fish,5,203,97.2
Arripidae Arripis georgianus,Arripis georgianus,M1_fish,4,159,113
Carangidae Pseudocaranx spp,Pseudocaranx spp,M1_fish,4,120,87.5
Clupeidae Spratelloides robustus,Spratelloides robustus,M1_fish,2,905,652.5
Pempherididae Pempheris klunzingeri,Pempheris klunzingeri,M2_cryptic_fish,2,200,137.5
Monacanthidae Acanthaluteres brownii,Acanthaluteres brownii,M1_fish,2,100,77.5
