transect_uid,survey_id,site_name,survey_date,scientific,portal_name,total,method
812301013 Transect_812301013_2005-03-08_5.3,812301013,Carrickalinga (toilet),2005-03-08,Apogonidae Siphamia cephalotes,Siphamia cephalotes,1000,M1_fish
923401837 Transect_923401837_2023-02-20_5.1,923401837,Carrickalinga Head,2023-02-20,Apogonidae Siphamia cephalotes,Siphamia cephalotes,800,M1_fish
912353929 Transect_912353929_2020-02-07_5.2,912353929,Lasseters Reef,2020-02-07,Apogonidae Siphamia cephalotes,Siphamia cephalotes,675,M1_fish
812301094 Transect_812301094_2007-02-22_5.4,812301094,Carrickalinga Head,2007-02-22,Apogonidae Siphamia cephalotes,Siphamia cephalotes,490,M1_fish
812301253 Transect_812301253_2007-02-25_5.3,812301253,Dodd's Beach,2007-02-25,Apogonidae Siphamia cephalotes,Siphamia cephalotes,400,M1_fish
912353694 Transect_912353694_2020-03-26_5.2,912353694,Myponga,2020-03-26,Apogonidae Siphamia cephalotes,Siphamia cephalotes,400,M1_fish
923401843 Transect_923401843_2023-02-17_5.4,923401843,2nd Valley Boat Shed,2023-02-17,Apogonidae Siphamia cephalotes,Siphamia cephalotes,380,M1_fish
812301123 Transect_812301123_2007-02-21_5.3,812301123,Rapid Head,2007-02-21,Apogonidae Siphamia cephalotes,Siphamia cephalotes,379,M1_fish
812301122 Transect_812301122_2007-02-21_5.2,812301122,Rapid Head,2007-02-21,Apogonidae Siphamia cephalotes,Siphamia cephalotes,375,M1_fish
912353922 Transect_912353922_2020-02-06_5.1,912353922,Rapid Head SZ,2020-02-06,Apogonidae Siphamia cephalotes,Siphamia cephalotes,360,M1_fish
923401858 Transect_923401858_2023-02-19_5.4,923401858,Lasseters Reef,2023-02-19,Apogonidae Siphamia cephalotes,Siphamia cephalotes,350,M1_fish
812301012 Transect_812301012_2005-03-08_5.2,812301012,Carrickalinga (toilet),2005-03-08,Apogonidae Siphamia cephalotes,Siphamia cephalotes,330,M1_fish
