survey_id,location,mpa,site_code,site_name,latitude,longitude,depth,survey_date,sampling_event,program,period,start_year_month,period_split,sampling_event_start_date,block,transect,id
5000356,Rapid Head,Encounter Marine Park,GSV26,2nd Valley Boat Shed,-35.50945,138.21448999999998,4,2008-02-06,4,RLS,Pre-bloom,2008-02,Pre-bloom,2008-02-05,2,Transect_5000356_2008-02-06_4,5000356 2
5000360,Rapid Head,Encounter Marine Park,GSV4,Rapid Head,-35.52045,138.16443,4.9,2008-02-06,4,RLS,Pre-bloom,2008-02,Pre-bloom,2008-02-05,1,Transect_5000360_2008-02-06_4.9,5000360 1
5000361,Rapid Head,Encounter Marine Park,GSV4,Rapid Head,-35.52045,138.16443,5,2008-02-06,4,RLS,Pre-bloom,2008-02,Pre-bloom,2008-02-05,1,Transect_5000361_2008-02-06_5,5000361 1
5000366,Southern Metro,Encounter Marine Park,GSV93,Aldinga Reef,-35.26825,138.43202,6,2008-02-08,1,RLS,Pre-bloom,2008-02,Pre-bloom,2008-02-08,2,Transect_5000366_2008-02-08_6,5000366 2
812301131,Rapid Head,Encounter Marine Park,GSV5,Rapid Head South,-35.53145,138.1519,5.1,2005-03-09,1,ATRC,Pre-bloom,2005-03,Pre-bloom,2005-03-09,1,Transect_812301131_2005-03-09_5.1,812301131 1
812319933,Southern Yorke,Lower Yorke Peninsula MP,GSV191,Edithburgh,-35.08315,137.74876,2.3,2005-04-11,1,ATRC,Pre-bloom,2005-04,Pre-bloom,2005-04-11,1,Transect_812319933_2005-04-11_2.3,812319933 1
812319934,Southern Yorke,Lower Yorke Peninsula MP,GSV191,Edithburgh,-35.08315,137.74876,2.4,2005-04-11,1,ATRC,Pre-bloom,2005-04,Pre-bloom,2005-04-11,1,Transect_812319934_2005-04-11_2.4,812319934 1
812320451,Southern Yorke,Lower Yorke Peninsula MP,GSV191,Edithburgh,-35.08315,137.74876,2.1,2005-04-12,1,ATRC,Pre-bloom,2005-04,Pre-bloom,2005-04-11,1,Transect_812320451_2005-04-12_2.1,812320451 1
812320452,Southern Yorke,Lower Yorke Peninsula MP,GSV191,Edithburgh,-35.08315,137.74876,2.2,2005-04-12,1,ATRC,Pre-bloom,2005-04,Pre-bloom,2005-04-11,1,Transect_812320452_2005-04-12_2.2,812320452 1
812327142,Rapid Head,Encounter Marine Park,GSV26,2nd Valley Boat Shed,-35.50945,138.21448999999998,5.2,2016-03-10,10,ATRC,Pre-bloom,2016-02,Pre-bloom,2016-02-09,1,Transect_812327142_2016-03-10_5.2,812327142 1
912344063,Carrickalinga,Encounter Marine Park,GSV2,Haycock Point,-35.41506,138.32132,7,2014-01-18,9,RLS,Pre-bloom,2014-01,Pre-bloom,2014-01-18,2,Transect_912344063_2014-01-18_7,912344063 2
912345024,Rapid Head,Encounter Marine Park,GSV95,Lasseters Reef,-35.508379999999995,138.21873,8,2014-02-05,9,RLS,Pre-bloom,2014-01,Pre-bloom,2014-01-22,1,Transect_912345024_2014-02-05_8,912345024 1
912345624,Encounter Bay,Encounter Marine Park,COO18,Pullen Island,-35.53778,138.69255,5.3,2012-10-29,6,RLS,Pre-bloom,2012-10,Pre-bloom,2012-10-29,2,Transect_912345624_2012-10-29_5.3,912345624 2
912345625,Encounter Bay,Encounter Marine Park,COO18,Pullen Island,-35.53778,138.69255,5.4,2012-10-29,6,RLS,Pre-bloom,2012-10,Pre-bloom,2012-10-29,2,Transect_912345625_2012-10-29_5.4,912345625 2
912345626,Encounter Bay,Encounter Marine Park,COO18,Pullen Island,-35.53778,138.69255,5.1,2012-10-29,6,RLS,Pre-bloom,2012-10,Pre-bloom,2012-10-29,2,Transect_912345626_2012-10-29_5.1,912345626 2
912349693,Carrickalinga,Encounter Marine Park,GSV45,Carrickalinga North Site,-35.3777,138.36288000000002,5.1,2017-03-07,11,RLS,Pre-bloom,2017-02,Pre-bloom,2017-02-14,2,Transect_912349693_2017-03-07_5.1,912349693 2
912350474,Carrickalinga,Encounter Marine Park,GSV113,Yankalilla Mouth,-35.4655,138.29465,2,2017-03-15,11,RLS,Pre-bloom,2017-02,Pre-bloom,2017-02-14,2,Transect_912350474_2017-03-15_2,912350474 2
912350488,Carrickalinga,Encounter Marine Park,GSV114,South Shores,-35.45609,138.29939,2.3,2017-03-15,11,RLS,Pre-bloom,2017-02,Pre-bloom,2017-02-14,1,Transect_912350488_2017-03-15_2.3,912350488 1
912351047,Carrickalinga,Encounter Marine Park,GSV113,Yankalilla Mouth,-35.4655,138.29465,2,2018-02-06,12,RLS,Pre-bloom,2018-02,Pre-bloom,2018-02-06,1,Transect_912351047_2018-02-06_2,912351047 1
912351050,Carrickalinga,Encounter Marine Park,GSV113,Yankalilla Mouth,-35.4655,138.29465,2.2,2018-02-06,12,RLS,Pre-bloom,2018-02,Pre-bloom,2018-02-06,1,Transect_912351050_2018-02-06_2.2,912351050 1
912351050,Carrickalinga,Encounter Marine Park,GSV113,Yankalilla Mouth,-35.4655,138.29465,2.2,2018-02-06,12,RLS,Pre-bloom,2018-02,Pre-bloom,2018-02-06,2,Transect_912351050_2018-02-06_2.2,912351050 2
912351054,Carrickalinga,Encounter Marine Park,GSV110,Lady Bay,-35.47356,138.28116,2.3,2018-02-06,12,RLS,Pre-bloom,2018-02,Pre-bloom,2018-02-06,1,Transect_912351054_2018-02-06_2.3,912351054 1
912352566,Rapid Head,Encounter Marine Park,GSV4,Rapid Head,-35.52045,138.16443,5.2,2019-02-20,14,RLS,Pre-bloom,2019-02,Pre-bloom,2019-02-16,2,Transect_912352566_2019-02-20_5.2,912352566 2
923400299,Rapid Head,Encounter Marine Park,GSV43,Rapid Head SZ,-35.5186,138.17102,5.3,2021-03-23,16,RLS,Pre-bloom,2020-12,Pre-bloom,2020-12-13,2,Transect_923400299_2021-03-23_5.3,923400299 2
923400373,Carrickalinga,Encounter Marine Park,GSV47,Carrickalinga Nth,-35.371190000000006,138.37876,5.1,2021-03-11,15,RLS,Pre-bloom,2021-03,Pre-bloom,2021-03-10,2,Transect_923400373_2021-03-11_5.1,923400373 2
923400392,Southern Metro,Encounter Marine Park,GSV116,Aldinga Pinacles,-35.26681,138.43364,12.2,2021-02-15,12,RLS,Pre-bloom,2021-02,Pre-bloom,2021-02-03,1,Transect_923400392_2021-02-15_12.2,923400392 1
923401841,Southern Metro,Encounter Marine Park,GSV131,Horseshoe outer,-35.1394,138.45799,12.3,2023-05-15,15,RLS,Pre-bloom,2023-05,Pre-bloom,2023-05-15,2,Transect_923401841_2023-05-15_12.3,923401841 2
923403614,Rapid Head,Encounter Marine Park,GSV26,2nd Valley Boat Shed,-35.50945,138.21448999999998,6,2023-12-21,19,RLS,Pre-bloom,2023-12,Pre-bloom,2023-12-20,1,Transect_923403614_2023-12-21_6,923403614 1
923406615,Rapid Head,Encounter Marine Park,GSV43,Rapid Head SZ,-35.5186,138.17102,5.1,2026-02-12,21,RLS,Bloom,2026-01,Bloom 2026-01,2026-01-12,1,Transect_923406615_2026-02-12_5.1,923406615 1
923406646,Southern Metro,Encounter Marine Park,GSV183,Aldinga SZ1,-35.26631,138.43649,5.3,2026-01-29,18,RLS,Bloom,2026-01,Bloom 2026-01,2026-01-29,1,Transect_923406646_2026-01-29_5.3,923406646 1
923406748,Upper GSV,NA,GSV109,Outer Harbor breakwater south inside,-34.788509999999995,138.46726,5.1,2025-12-18,9,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-26,1,Transect_923406748_2025-12-18_5.1,923406748 1
923406750,Upper GSV,NA,GSV109,Outer Harbor breakwater south inside,-34.788509999999995,138.46726,5.3,2025-12-18,9,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-26,1,Transect_923406750_2025-12-18_5.3,923406750 1
923406750,Upper GSV,NA,GSV109,Outer Harbor breakwater south inside,-34.788509999999995,138.46726,5.3,2025-12-18,9,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-26,2,Transect_923406750_2025-12-18_5.3,923406750 2
923406751,Upper GSV,NA,GSV109,Outer Harbor breakwater south inside,-34.788509999999995,138.46726,5.4,2025-12-18,9,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-26,1,Transect_923406751_2025-12-18_5.4,923406751 1
923406751,Upper GSV,NA,GSV109,Outer Harbor breakwater south inside,-34.788509999999995,138.46726,5.4,2025-12-18,9,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-26,2,Transect_923406751_2025-12-18_5.4,923406751 2
923406759,Upper GSV,NA,GSV115,Port Gawler,-34.61942,138.31052,10.2,2026-01-29,9,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-26,1,Transect_923406759_2026-01-29_10.2,923406759 1
923406759,Upper GSV,NA,GSV115,Port Gawler,-34.61942,138.31052,10.2,2026-01-29,9,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-26,2,Transect_923406759_2026-01-29_10.2,923406759 2
923406796,Southern Metro,Encounter Marine Park,GSV138,Moana outside,-35.2065,138.4622,6.2,2025-11-15,17,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-13,2,Transect_923406796_2025-11-15_6.2,923406796 2
923406808,Southern Metro,Encounter Marine Park,GSV131,Horseshoe outer,-35.1394,138.45799,12.2,2025-11-14,17,RLS,Bloom,2025-11,Bloom 2025-11,2025-11-13,1,Transect_923406808_2025-11-14_12.2,923406808 1
